PLYNLIMON-LLYGAD-RHEIDOL (HIGHER GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN793875,Long,-3.77838,Lat,52.472048,Elevation,1660,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4129/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,12.1,16.11,,4.8,10,8.7,15.3,6.5,11.1,,14.6,5.7,4,9.2,8.3,5.5,8,4.6,9.2,10.2,6.5,7,8
February,,,,,,,,5.06,10.02,,6.4,3.4,7.8,4.8,11.3,13.5,,7.7,5.4,12.1,8.3,5.3,6.3,6.2,4.5,1.6,5.8,12.1,2,5
March,,,,,,,,5.02,5.02,6.05,7.6,4.8,3,2,7,3,,6.4,4.9,4.2,11.2,5.2,5.6,4.8,4.1,3,7.3,2.1,4,2.6
April,,,,,,,,1.5,5.02,5.05,3.7,3.2,3.4,4.1,3,2.8,4.9,4,8.2,8.2,6.5,4.2,5.8,3,7.2,2.8,1,3.4,5.6,4.08
May,,,,,,,,3.5,1.03,3.08,6,7,6.3,3.7,7.3,4.6,3.2,3,9.3,2,3.2,3.68,5,4.4,8,3.1,3.2,6.6,2,2.1
June,,,,,,,6.03,10.3,4.05,,1.6,1.5,9.8,7.5,8.1,7.8,3.9,9.5,1.5,4.8,3.24,6.6,2.8,7.8,8.4,4.5,3.1,5.6,4.5,4.2
July,,,,,,,6.03,9.5,13,9.04,5.3,12,7.3,6.3,3.6,8.1,6.1,5.9,7.6,7,7.2,3.7,12.3,13.7,2.1,6.1,10.6,7.28,4.6,8
August,,,,,,,2,6.2,4.06,4.06,10.4,6.4,10.1,5.1,7.1,13.2,0.7,10.2,3.7,12.1,11.3,5,9.1,10.2,2.7,10,10.4,5.1,1.4,8.4
September,,,,,,,4.04,4.05,2.03,8.09,2.1,9,11.7,9,7.4,15.9,5.9,9.3,2.8,17.5,8.5,7.3,7.4,7.5,7,7.2,13,8,1,9.08
October,,,,,,,4.01,12.06,4,7.05,11,14.8,8.4,11.1,5.7,3.2,2.8,9.2,9.4,7.2,3.7,8.5,3.4,17,5.1,5.6,13,7.6,12.4,5.4
November,,,,,,,4,11,20.06,17,4.75,1.5,9.1,15.3,1.4,11.9,9.5,6.3,10.1,10.3,12.1,7,9.2,11.1,2.7,4.4,4.4,6.2,9,12
December,,,,,,,6,6.04,8.01,9.06,8.4,10.5,5,5,7.8,6.8,12.1,9.2,11.5,6.2,14.1,9.2,,13,8.1,8.2,8.8,5.6,11.2,12.6
Total,,,,,,,,86.33,92.41,,72.05,84.1,90.6,89.2,76.2,101.9,,95.3,80.1,95.6,98.54,73.98,,106.7,64.5,65.7,90.8,76.08,64.7,81.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb May estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: There are multiple duplicate values with the Lower Gauge for this location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
