"SHAP",,,,,,,,,,,,
Grid ref,NY551132,Long,-2.695014,Lat,54.512104,,,,,,,
Station no,3671,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.79,6.12,1.62,4.59,5.86,4.42,14.84,8.53,5.66,10.79,,
February,6.64,0.81,1.81,5.60,2.03,0.48,6.15,7.03,1.80,10.88,,
March,4.98,4.14,0.72,4.43,1.30,1.62,5.30,1.62,5.11,1.69,,
April,5.70,4.93,3.88,0.67,1.52,0.83,0.86,1.82,7.14,7.02,,
May,1.97,3.07,3.48,5.08,3.78,2.56,3.55,6.58,1.56,2.73,,
June,1.18,3.66,4.22,3.73,3.26,3.56,1.32,4.63,5.88,4.04,,
July,3.41,1.53,5.64,2.54,1.99,3.92,3.98,4.48,4.83,5.38,,
August,6.28,5.29,4.97,6.29,2.45,9.80,6.58,4.65,1.15,3.86,,
September,7.76,4.83,8.37,9.84,2.80,4.92,6.11,7.37,1.28,3.70,,
October,0.81,7.60,3.62,12.99,3.50,5.49,7.78,6.97,8.29,5.17,,
November,11.98,2.83,7.85,13.33,3.50,2.08,2.25,1.11,10.95,15.80,,
December,11.53,5.05,3.43,8.34,7.01,9.28,6.00,6.03,13.58,8.69,,
Total,68.03,49.86,49.61,77.43,39.00,48.96,64.72,60.82,67.23,79.75,,
Calc annual,68.03,49.86,49.61,77.43,39.00,48.96,64.72,60.82,67.23,79.75,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
