SUTTON-MULGRAVE-ROAD,,,,,,,,,,,,,,,,
Grid ref,TQ255635,Long,-0.1988,Lat,51.35735,Elevation,214,ft,,,,,,,,
Station no,142/8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.2,4.39,5.04,2.12,4.57,2.42,2.21,,,,,,,,,
February,3.13,2.24,4.03,0.7,1.42,1.77,2.21,,,,,,,,,
March,0.26,1.25,4.14,0.4,1.22,3.2,3.27,,,,,,,,,
April,2.93,1.07,2.54,0.15,2.58,1.77,1.94,,,,,,,,,
May,1.47,0.59,2.8,2.13,1.78,1.23,1.74,,,,,,,,,
June,4.48,3.66,2.05,0.6,1.27,0.33,2.38,,,,,,,,,
July,1.22,4.37,1.02,1.3,2.33,2.57,3.38,,,,,,,,,
August,2.75,1.11,1.96,2.1,4.34,0.1,4.31,,,,,,,,,
September,3,2.77,2.35,2.43,1.97,1.29,0.36,,,,,,,,,
October,3.11,2.29,3.27,2.3,6.01,2.56,0.82,,,,,,,,,
November,5.02,3.51,1.55,3.12,4.3,7.39,2.71,,,,,,,,,
December,3.94,2.3,4.63,3.26,1.18,1.15,1.71,,,,,,,,,
Total,32.51,29.55,35.38,20.61,32.97,25.78,27.04,,,,,,,,,
,,,,,,,,,,,,,,,,
57 Mulgrave Rd ,,,,,,,,,,,,,,,,
1938 Dec Part estimated for snow,,,,,,,,,,,,,,,,
1943 Letter says observer died and 1942 record lost,,,,,,,,,,,,,,,,
