SUTTON-MULGRAVE-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ257636,Long,-0.19576,Lat,51.35795,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,
Station no,142/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898
January,,,,,,,,5.32,0.92,2.75,0.41,1.52,0.85,2.17,2.26,1.91,3.54,2.05,1.01,1.14,2.51,2.11,0.5,1.87,3.18,1.79,0.66,1.89,0.88
February,,,,,,,,2.08,1.41,3.33,3.17,2.9,1.69,4.38,1.76,2.56,0.38,0.51,1.11,2,1.03,0.05,1.5,3.6,1.79,0.25,0.34,2.33,1.26
March,,,,,,,,2.19,1.15,0.7,0.67,1.43,0.68,1.14,1.66,1.7,1.19,1.77,3.1,2.16,2.09,2.03,1.42,0.41,1.12,1.58,3.29,4.18,1.23
April,,,,,,,,3.59,3.87,2.55,1.99,0.56,3.32,1.43,1.54,1.97,1.68,1.89,1.71,2.19,1.98,0.76,1.16,0.09,1.98,1.68,0.68,1.3,0.89
May,,,,,,,,2.21,3.86,3.59,0.36,1.11,0.97,2.42,0.73,3.34,4.63,1.74,1.01,3.29,1.67,3.19,1.21,1.03,1.42,0.39,0.16,1.42,2.84
June,,,,,,,,1.46,2.66,3.68,3.07,1.52,2.46,1.09,1.25,1.64,0.89,1.06,2.35,1,3.27,1.5,2.83,1.15,2.48,0.31,2.08,2.16,1.41
July,,,,,,,,3.2,0.87,2.92,3.15,2.14,2.54,2.45,1.23,0.47,2.83,1.53,6.48,2.95,4.64,3.27,1.77,2.46,3.61,3.67,1.74,1.23,0.87
August,,,,,,,,3.15,4.3,4.65,0.73,4.21,1.2,0.69,1.21,1.18,0.97,3.23,2.59,2,2.15,4.61,3.3,0.65,2.86,2.44,2.22,2.86,1.04
September,,,,,,,,1.31,1.23,3.25,5.25,2.15,2.63,3.12,1.98,5.02,1.67,2.28,1.03,1.15,0.97,1.03,2.08,1.37,1.65,0.46,7.48,2.72,
October,,,,,,,,1.95,1.92,0.61,7.77,2.24,6.35,1.8,1.29,3.25,2.61,1.62,1.49,4.33,1.25,5.79,4.29,3.66,5.27,2.59,3.15,0.64,
November,,,,,,,,4.92,3.27,1.12,2.33,3.16,2.16,3.71,1.48,2.66,3.46,4.66,4.31,0.78,1.91,2.89,2.61,2.16,4.18,4.11,1.6,1.14,
December,,,,,,,,2.13,1.62,1.13,2.87,2.4,2.07,0.5,2.25,1.2,4.4,1.44,1.74,1.36,0.82,3.59,1.32,2.59,1.8,2.42,3.68,3.23,
Total,,,,,,,,33.51,27.08,30.28,31.77,25.34,26.92,24.9,18.64,26.9,28.25,23.78,27.93,24.35,24.29,30.82,23.99,21.04,31.34,21.69,27.08,25.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at Thorn Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 sheet has a note Gauge formerly on outbuilding now on iron post in paddock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still unorthodox as lowered from 7ft 3in but still 5ft 6in above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR given for open land opposite likely house Near area later called Mews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
