FAIRFORD-HORCOTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP152004,Long,-1.7814514,Lat,51.70214,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,2.79,1.78,0.7,2.05,1.88,2.81,0.47,1.62,0.38,3.11,2.49,0.98,0.77,3.07,,,,,,
February,,,,,,,,,,,0.6,0.04,0.9,2.31,1.84,0.08,0.29,2.76,1.3,2.77,4.1,0.92,1,1.36,,,,,,
March,,,,,,,,,,,0.83,1.19,0.55,0.2,1.84,2.05,2.56,2.8,0.42,0.43,0.91,1.99,1.43,3.7,,,,,,
April,,,,,,,,,,,1.43,0.63,0.74,0.01,1.73,2.33,0.5,1.73,1.6,1.76,0.79,2.27,1.65,2.03,,,,,,
May,,,,,,,,,,,2.26,2.9,0.86,1.11,1.33,0.31,0.29,0.98,3.59,1.37,1.46,1.73,1.91,4.13,4.42,,,,,
June,,,,,,,,,,,3.28,1,2.16,0.8,2.11,0.67,1.4,2.67,1.18,2.09,1.82,2.05,2.72,5.04,0.68,,,,,
July,,,,,,,,,,,3.86,2.74,3.28,3.07,2.83,2.7,1.77,1.27,1.08,1.42,0.91,2.59,0.76,2.75,3.32,,,,,
August,,,,,,,,,,,2.22,5.59,2.76,1.39,1.86,2.85,2.39,4.4,2.11,2.03,3.2,2.39,3.53,3.16,1.56,,,,,
September,,,,,,,,,,,1.52,1.52,3.01,0.46,2.53,1.03,5.47,2.05,0.96,1.99,0.32,1.37,2.63,2.85,1.5,,,,,
October,,,,,,,,,,,1.46,6.66,3.34,3.04,4.42,3.19,3.64,1.55,3.41,2.71,2.45,1.65,1.39,4.82,0.77,,,,,
November,,,,,,,,,,1.1,2.15,1.99,1.88,1.82,4.55,4.35,0.58,1.26,2.46,2.21,1.86,0.77,2.29,1.88,1.72,,,,,
December,,,,,,,,,,1.56,0.7,3.01,0.63,2.11,2.32,1.76,2.47,3.05,2.48,2.37,4.19,3.85,2.36,1.15,2.11,,,,,
Total,,,,,,,,,,,23.1,29.05,20.81,18.37,29.24,24.13,21.83,26.14,20.97,24.26,24.5,22.56,22.44,35.94,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889 values entered fromnotes on 1890s TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904 Jan Feb values not properly measured so removed as doubtful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904 Mar value removed as ambiguous whether bracketed with Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
