"COLDSTREAM (LOCHTON)",,,,,,,,,,,,
Grid ref,NT777389,Long,-2.355851,Lat,55.643132,,,,,,,
Station no,5085,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,1.53,0.69,2.07,2.23,2.40,2.58,1.29,1.42,3.67,,
February,1.49,0.55,1.07,1.45,1.98,2.59,2.69,1.87,0.39,1.93,,
March,2.63,0.88,0.20,1.30,1.17,0.50,1.59,2.08,0.48,1.33,,
April,2.44,1.14,2.77,0.69,0.52,0.73,0.51,2.30,1.66,0.80,,
May,2.40,1.46,2.19,4.01,1.71,0.71,1.45,2.24,0.43,1.27,,
June,1.37,2.00,1.46,1.92,1.03,2.44,1.40,2.91,2.75,1.05,,
July,2.03,1.61,3.44,2.33,1.78,2.84,2.94,4.20,2.12,2.89,,
August,3.01,4.48,2.33,5.47,0.44,8.38,3.73,2.39,0.46,4.12,,
September,0.91,2.10,2.81,2.54,1.43,3.10,1.83,2.09,0.73,1.41,,
October,0.37,2.75,1.36,4.07,1.91,1.18,1.67,1.02,1.88,5.37,,
November,5.16,3.66,2.03,2.27,0.94,0.68,1.17,0.95,4.29,2.10,,
December,1.18,3.84,1.84,2.04,3.50,2.17,1.89,3.93,2.86,1.72,,
Total,25.23,26.00,22.19,30.16,18.64,27.72,23.45,27.27,19.47,27.66,,
Calc annual,25.23,26.00,22.19,30.16,18.64,27.72,23.45,27.27,19.47,27.66,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
