LOCH HOURN (KINLOCHOURN),,,,,,,,,,,,
Grid ref,NG950065,Long,-5.386357,Lat,57.103640,,,,,,,
Station no,5716/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.50,10.46,11.21,10.64,6.50,9.45,20.63,11.38,5.80,6.53,,
February,7.29,7.84,10.31,6.13,5.25,7.38,8.09,8.04,7.51,7.43,,
March,5.01,8.76,4.46,7.24,2.17,3.64,8.45,2.96,7.20,1.71,,
April,9.54,5.43,9.11,3.55,7.02,5.85,4.19,6.84,7.79,8.69,,
May,1.42,4.03,5.59,4.79,5.19,9.24,3.25,9.59,3.02,3.84,,
June,4.18,7.20,0.88,8.51,5.34,4.66,6.21,2.58,9.00,6.43,,
July,8.19,8.58,9.89,6.68,2.03,9.89,7.85,2.81,10.42,5.08,,
August,7.98,8.43,9.97,7.63,3.23,7.24,8.67,5.37,8.64,6.39,,
September,8.42,12.07,11.77,13.40,12.93,8.72,10.27,-999.00,4.21,6.51,,
October,6.29,13.35,10.58,18.15,12.69,11.58,17.54,13.19,12.49,1.29,,
November,11.63,8.29,22.96,13.15,5.27,9.85,4.87,3.10,11.54,8.95,,
December,20.76,13.10,10.97,18.16,16.87,21.87,17.50,8.05,13.79,11.90,,
Total,102.21,107.54,117.70,118.03,84.49,109.37,117.52,79.48,101.41,74.75,,
Calc annual,102.21,107.54,117.70,118.03,84.49,109.37,117.52,73.91,101.41,74.75,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,5.57,0.00,0.00,,
