SLOUGH UPTON (monthly gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU979791,Long,-0.5907,Lat,51.5026,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.45,3.32,,,,,,,,,,,1.73,1.44,0.52,1.21,2.18,2.04,0.53,1.79,0.81,2.1,2.9,0.86,0.7,2.1,2.29,0.74,3.68,0.79,1.7,0.69,1.81,1.05,3.64,3.1,0.49,3.35,1.03,1.17,2.99,3.77,2.51,2.2,2.77,1.36,,1.58,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.7,3.9,,,,,,,,,,,0.75,0.06,0.98,2.72,1.52,0.08,0.31,2.48,1.36,1.99,3.56,1.28,1.02,0.87,2.49,0.66,1.71,1.41,0.97,0.3,2.63,1.42,1.65,0.71,2.69,3.4,3.69,0.91,0.9,2.39,0.37,0.15,2.28,3.73,,3.39,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.99,0.83,,,,,,,,,,,1.37,0.91,0.88,0.15,0.98,1.14,2.85,2.96,0.76,0.42,0.77,1.44,1.63,2.43,1.07,3.29,1.24,0.85,2.8,2.71,0.86,1.45,3.28,2.07,3.74,0.9,3.86,1.65,0.68,3.71,1.48,0.67,1.78,2.04,,0.9,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.02,3.14,,,,,,,,,,,1.34,0.8,0.7,0.04,1.34,1.07,0.39,1.56,0.94,1.94,0.52,1.64,0.7,1.97,0.9,1.68,0.47,2.89,2.93,1.94,1.39,1.65,0.02,2.22,0.64,0.9,0.88,1.96,3.69,2.54,3.58,0.75,2.85,2.26,,1.52,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,4.12,3.92,,,,,,,,,,,1.2,2.64,1,0.55,1.46,0.21,0.26,1.06,1.69,1.12,1.54,0.44,2.27,2.39,2.83,0.87,3.09,1.43,1.39,1.08,1.66,1.11,1.54,1.66,1.67,3.41,1.43,1.66,2.67,0.24,2.17,1.14,0.81,1.85,,1.93,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.76,5.39,,,,,,,,,,,2.36,1.87,1.71,0.5,1.75,0.23,1.73,3.32,0.93,1.92,1.92,0.86,3.41,5.89,0.88,3.81,2.7,1.77,1.14,2.88,3.5,1.68,2.86,0.38,1.29,1.01,2.44,1.94,0.72,1.15,2.52,0.08,1.05,0.25,,0,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.72,3.91,,,,,,,,,,,4.31,2.07,2.07,1.24,3.03,4.63,1.05,0.32,1.08,0.31,0.47,0.69,1,3.27,3.12,0.3,0.24,1.36,2.17,2.89,2.23,0.34,1.13,1.23,1.83,4.37,0.91,4.61,4.26,2.67,4.99,0.07,2.91,2.39,,4.22,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.5,5.89,,,,,,,,,,,2.13,4.47,3.66,1.58,2.63,1.81,2.21,2.37,0.94,0.51,2.56,1.74,2.87,3.16,1.98,2.15,0.91,1.61,2.18,1.88,2.05,0.36,5.57,1.01,1.3,1.99,4.51,3.72,1.07,2.52,1.31,1.05,3.18,1.97,,2.47,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.16,2.91,,,,,,,,,,,1.04,1.23,2.91,0.81,1.92,1.31,5.56,2.24,0.48,1.89,0.47,1.2,0.84,1.97,1.29,1.25,1.21,0.52,1.97,2.55,0.33,1.03,2.5,1.55,0.75,2.2,1.43,1.61,5.82,1.33,2.13,2.41,2,1.45,,2.7,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.94,0.75,,,,,,,,,,,0.82,4.86,3.43,5.02,3.81,2.57,2.06,1,2.74,2.9,1.74,1.73,1.31,6.23,1.2,1.12,4.26,4.79,2.23,4,2.96,2.28,2.16,3.9,1.6,2.57,3.24,3.6,1.3,0.63,2.02,0.87,0.99,5.63,,2.56,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
