SLOUGH (UPTON),,,,,,,,,,,,
Grid ref,SU978791,Long,-0.592365,Lat,51.502384,,,,,,,
Station no,994,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,1.80,0.81,0.87,2.36,3.29,1.44,2.82,2.21,2.06,,
February,5.03,0.75,1.58,2.24,1.52,0.18,2.89,2.77,0.11,2.03,,
March,3.56,2.55,0.37,2.21,0.99,0.63,1.07,1.36,2.26,1.21,,
April,2.85,1.78,2.30,0.36,0.34,1.15,0.24,1.19,2.32,0.54,,
May,2.23,2.31,1.29,2.78,3.99,0.19,1.13,2.44,0.66,1.78,,
June,1.15,1.14,1.45,4.04,2.20,1.79,0.69,4.16,0.53,1.70,,
July,1.33,0.44,3.14,2.69,0.66,3.45,4.10,3.12,2.54,4.02,,
August,3.10,2.57,1.58,3.01,0.97,3.60,2.00,3.61,1.38,2.75,,
September,3.15,3.06,1.60,2.03,1.48,2.58,2.52,3.31,0.05,3.22,,
October,0.95,2.84,2.66,2.52,3.90,2.50,2.02,2.36,2.50,7.96,,
November,5.76,2.93,1.58,4.44,2.39,0.41,2.37,2.03,2.38,4.29,,
December,1.49,2.30,0.55,2.01,2.13,3.11,1.85,3.29,3.64,2.42,,
Total,33.42,24.47,18.91,29.20,22.93,22.88,22.32,32.46,20.58,33.98,,
Calc annual,33.42,24.47,18.91,29.20,22.93,22.88,22.32,32.46,20.58,33.98,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
