WANSFORD-APETHORPE-LODGE,,,,,,,,,,
Grid ref,TL023953,Long,-0.49285418,Lat,52.54595,Elevation,150,ft,,
Station no,RR8259,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,2.18,0.72,1.65,1.72,2.26,1.66,1.4,1.19,
February,,0,1.92,3.08,1.57,0.26,0.44,2.28,0.89,
March,,0.5,0.76,0.1,0.93,1.82,2.22,1.89,2.13,
April,,1.55,0.69,0.07,1.1,0.84,0.42,1.78,1.23,
May,,2.6,0.6,1.18,1.64,0.34,0.39,1.47,3.57,
June,,2.56,1.58,1.02,2.6,0.45,2.85,1.87,2.41,
July,,2.12,1.62,5.39,3.13,3.35,0.92,0.26,1.52,
August,,1.98,,2.4,2.04,2.17,1.73,2.4,3.07,
September,,0.64,3.5,1.1,1.35,0.05,3.61,3.47,0.18,
October,,5.34,4.4,3.6,2.74,0.58,3.29,0.94,2.28,
November,,3.39,1.2,2.34,3.33,0.8,0.56,1.34,1.6,
December,,3.1,2.5,1.2,1.99,2.36,1.67,1.51,2.29,
Total,,25.96,,23.13,24.14,15.28,19.76,20.61,22.36,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Note on TYR suggests that 1895 and 1896 Sep Oct Nov are 3 - 5 inches short,,,,,,,,,,
