FARNDALE NO. 14,,,,,,,,
Grid ref,NZ707004,Long,-0.913,Lat,54.394,Elevation,1286,ft
Station no,3465/8/3,,,,,,,
,,,,,,,,
,1948,1949,1950,1951,1952,1953,1954,1955
January,7.16,1.80,1.87,-999.00,3.74,1.76,2.56,2.45
February,1.41,0.64,3.67,3.99,3.34,3.46,4.80,-999.00
March,1.36,2.08,1.70,5.21,4.18,0.49,5.18,-999.00
April,1.36,2.65,2.41,2.36,1.86,3.67,1.16,-999.00
May,2.38,1.59,2.66,5.20,-999.00,4.58,5.22,-999.00
June,7.86,0.80,1.83,1.75,-999.00,3.27,2.36,-999.00
July,2.05,2.41,3.84,2.35,-999.00,3.86,2.56,
August,4.63,3.40,4.90,8.10,3.45,3.28,9.56,1.66
September,1.84,0.77,4.75,2.36,-999.00,2.47,2.46,1.77
October,1.39,3.43,1.43,2.75,-999.00,3.27,5.86,3.20
November,0.94,7.72,7.59,6.27,4.46,3.07,7.66,3.54
December,3.41,2.79,-999.00,4.35,3.36,2.36,2.36,5.28
Total,35.79,30.08,41.15,47.69,43.16,35.54,51.74,
,,,,,,,,
TYRain_1941-1950_22_pt1/219,,,,,,,,
TYRain_1951-1960_22_pt1/043,,,,,,,,
,,,,,,,,
# Readings for December 1950 and January 1951 are apportioned.,,,,,,,,
# Readings for May-July and September-October 1952 are apportioned.,,,,,,,,
# Readings for February-June 1955 are apportioned.,,,,,,,,
# The reading for July 1955 is an estimate and has been omitted.,,,,,,,,
