FARNDALE NO.14,,,,,,,,,,,,
Grid ref,NZ707004,Long,-0.912632,Lat,54.394177,,,,,,,
Station no,3465/8/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,3.74,1.76,2.56,2.45,,,,,,,
February,3.99,3.34,3.46,4.80,4.16,,,,,,,
March,5.21,4.18,0.49,5.18,3.40,,,,,,,
April,2.36,1.86,3.67,1.16,1.10,,,,,,,
May,5.20,1.79,4.58,5.22,2.80,,,,,,,
June,1.75,2.38,3.27,2.36,3.30,,,,,,,
July,2.35,2.07,3.86,2.56,1.70,,,,,,,
August,8.10,3.45,3.28,9.56,1.66,,,,,,,
September,2.36,6.37,2.47,2.46,1.77,,,,,,,
October,2.75,6.16,3.27,5.86,3.20,,,,,,,
November,6.27,4.46,3.07,7.66,3.54,,,,,,,
December,4.35,3.36,2.36,2.36,5.28,,,,,,,
Total,47.69,43.16,35.54,51.74,34.36,,,,,,,
Calc annual,47.69,43.16,35.54,51.74,34.36,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
