SULLOM VOE,,,,,,,,,,
Grid ref,HU 40639 73249,Long,-1.263397,Lat,60.441001,Elevation,16,ft,,
Station no,5831/7,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,8,5.25,6,5.25,,,,,
February,,2.65,4.99,4.19,5.87,,,,,
March,,2.08,4.22,2.64,3.16,,,,,
April,,2.16,4.04,2.65,3.48,,,,,
May,,4.55,4.32,2.52,2.95,,,,,
June,,2.49,1.43,2.45,1.87,,,,,
July,,1.98,3.22,1.77,2.1,,,,,
August,,2.46,4.43,2.87,,,,,,
September,,5.06,5.89,3.04,,,,,,
October,,6.09,4.62,4.57,,,,,,
November,,4.56,5.81,6.9,,,,,,
December,,6.14,3.72,5.13,,,,,,
Total,,48.22,51.94,44.73,,,,,,
,,,,,,,,,,
Location Approx,,,,,,,,,,
,,,,,,,,,,
Station no,5831/7,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
