"PENRYN RESERVOIR NO. 1",,,,,,,,,,,,
Grid ref,SW777337,Long,-5.113814,Lat,50.161566,,,,,,,
Station no,1913/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.89,5.25,1.22,2.71,7.25,,3.31,5.81,7.11,5.18,,
February,4.42,1.53,1.57,6.25,3.73,,5.48,5.30,0.49,4.09,,
March,5.86,4.78,1.18,4.05,1.45,,4.96,6.21,4.87,5.64,,
April,2.42,3.70,2.44,0.74,1.53,,0.42,1.27,4.03,3.14,,
May,2.89,1.50,3.57,3.69,3.68,,3.00,3.28,1.71,2.41,,
June,0.63,1.21,2.23,3.30,4.50,,5.85,3.02,1.16,1.52,,
July,0.75,1.27,4.39,3.43,0.05,,3.35,3.21,1.91,4.63,,
August,5.94,3.83,2.45,2.48,1.05,,4.34,5.38,2.61,4.19,,
September,4.86,4.81,2.54,5.03,1.73,,3.70,5.86,0.07,5.52,,
October,1.68,5.85,2.73,3.67,4.11,,3.08,3.69,4.91,9.27,,
November,6.82,5.65,2.11,7.64,3.04,,2.69,3.68,8.78,7.17,,
December,4.75,4.41,1.06,4.84,8.60,,4.03,6.54,10.89,4.98,,
Total,45.91,43.79,27.49,47.83,40.72,,44.21,53.25,48.54,57.74,,
Calc annual,45.91,43.79,27.49,47.83,40.72,0.00,44.21,53.25,48.54,57.74,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,0.00,0.00,0.00,-0.00,,
