PENRYN-RES-ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW777337,Long,-5.113814,Lat,50.161566,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1913/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.62,8.84,3.76,5.47,6.52,7.6,5.07,3.56,5.59,7.52,8.28,1.37,2.73,4.89,5.25,1.22,2.71,7.25,,3.31,5.81,7.11,5.18
February,,,,,,,,2.19,2.67,6.84,7.37,0.27,2.87,1.08,4.55,3.64,3.57,1.49,0.77,8.3,4.42,1.53,1.57,6.25,3.73,,5.48,5.3,0.49,4.09
March,,,,,,,,0.42,2.02,3.74,4.6,3.99,0.69,0.24,1.48,2.47,15.42,1.96,1.62,3.11,5.86,4.78,1.18,4.05,1.45,,4.96,6.21,4.87,5.64
April,,,,,,,,0.04,3.15,3.47,2.54,2.52,1.87,2.49,1.8,1.46,4.27,2.79,1.74,2.62,2.42,3.7,2.44,0.74,1.53,,0.42,1.27,4.03,3.14
May,,,,,,,,2.97,1.03,1.12,4.01,7.4,2.49,0.35,3.99,4.73,3.45,2.26,2.79,1.41,2.89,1.5,3.57,3.69,3.68,,3,3.28,1.71,2.41
June,,,,,,,,1.95,2.82,1.39,2.56,0.79,1.45,3.26,5.03,3.69,4.34,2.58,0.72,1.15,0.63,1.21,2.23,3.3,4.5,,5.85,3.02,1.16,1.52
July,,,,,,,,3.98,6.72,2.48,0.84,2.78,3.13,3.44,4.86,2.44,2.44,1.98,2.16,3.71,0.75,1.27,4.39,3.43,0.05,,3.35,3.21,1.91,4.63
August,,,,,,,,4.22,2.29,0.21,5.27,3.34,2.68,2.14,2.37,5.19,1.24,4.29,1.19,7.31,5.94,3.83,2.45,2.48,1.05,,4.34,5.38,2.61,4.19
September,,,,,,,,2.5,1.07,2.74,0.99,3.23,4.65,1.75,3.1,8.44,1.5,2.43,3.6,5.27,4.86,4.81,2.54,5.03,1.73,,3.7,5.86,0.07,5.52
October,,,,,,,,6.18,5.16,4.94,2.16,3.06,3.7,5.19,4.02,4.35,2.29,7.04,8.2,2.13,1.68,5.85,2.73,3.67,4.11,,3.08,3.69,4.91,9.27
November,,,,,,,,8.53,9.81,10.36,3.73,0.99,3.49,10.45,2.2,8.19,3.96,2.3,6.26,8.11,6.82,5.65,2.11,7.64,3.04,,2.69,3.68,8.78,7.17
December,,,,,,,,5.27,4.23,6.4,4.29,6.72,3.07,3.44,7.5,6.44,3.36,7.19,2.96,4.01,4.75,4.41,1.06,4.84,8.6,,4.03,6.54,10.89,4.98
Total,,,,,,,,44.87,49.81,47.45,43.83,41.61,37.69,38.9,44.46,56.63,53.36,44.59,33.38,49.86,45.91,43.79,27.49,47.83,40.72,,44.21,53.25,48.54,57.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is resr No 1 which ended at end of 1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resr No 2 started in Jan 1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
