THORNTON-IN-LONSDALE-HALSTEADS-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD684732,Long,-2.4853451,Lat,54.153638,Elevation,414,ft.,,,,,,,,,,,,
Station no,RR4458,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,4.79,1.04,0.52,0.43,4.52,5.78,8.33,3.01,7.94,4,2.25,
February,,,,,,,,,1.3,2.25,3.28,4.69,3.95,4.01,2.86,2.64,1.57,2.15,1.2,
March,,,,,,,,,2.33,2.2,2.52,4.78,5.8,1.53,4.28,3.75,3.5,2.68,2.48,
April,,,,,,,,,2.16,0.75,1.72,1.84,5.21,2.38,1.52,2.45,3.13,1.94,2.1,
May,,,,,,,,,3.72,1.92,2.53,4.74,1.83,1.89,3.68,1.87,4.91,2.6,1.85,
June,,,,,,,,,2.91,3.92,4.99,3.75,6.25,4.23,0.72,2.92,1.97,0.39,2.02,
July,,,,,,,2.65,6.49,1.39,5.23,6.37,7.52,8.19,3.29,5.34,2.22,6.82,2.55,9.08,
August,,,,,,,4.82,6.76,6.01,5.49,2.22,7.42,5.79,3.39,2.15,2.71,2.8,2.78,4.48,
September,,,,,,,4.86,3.45,5.74,2.94,3.74,2.51,2.51,4.83,3.1,5.97,5.36,5.97,2.37,
October,,,,,,,2.1,6.33,4.12,3.6,1.38,3.06,4.21,6.57,4.24,4.72,5.95,1.89,2.31,
November,,,,,,,,7.54,3.04,1.68,5.56,6.07,7.23,5.18,1.86,3.42,4.63,3.44,6.23,
December,,,,,,,,4.96,2.08,2.35,6.38,4.12,4.17,4.76,6.15,2.64,5.67,3.55,2.39,
Total,,,,,,,,,39.59,33.37,41.21,50.93,59.66,47.84,44.23,38.32,54.25,33.94,38.76,
,,,,,,,,,,,,,,,,,,,,
NGR is Halsteads. Altitudes match.,,,,,,,,,,,,,,,,,,,,
