ESHER-HALIDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ140643,Long,-0.363,Lat,51.36678,Elevation,114,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.93,2.64,1.91,3.13,1.27,2.61,1.3,1.97,1.63,1.73,0.88,3.95,4.38,2.46,4.08,2.38,2.47,2.69,4.89,,,,,,,
February,,,,,,3.73,2.16,4.02,1.6,0.38,0.55,1.45,0.17,3.06,0.25,2.39,1.67,4.35,0.45,1.31,1.6,2.04,0.54,1.51,,,,,,,
March,,,,,,0.5,0.9,2.8,1.74,0.05,1.23,0.34,1.43,2.37,2.09,0.35,1.27,3.34,0.35,0.96,3.12,3.5,1.8,0.38,,,,,,,
April,,,,,,2.13,3.03,1.66,1.19,0.86,1.3,4.85,2.37,0.72,2.85,2.91,1.82,2.48,0.07,2.36,1.9,1.69,1,0.91,,,,,,,
May,,,,,,2.09,1.55,1.31,2.27,1.05,2.8,2.67,4.97,2.33,0.53,1.42,0.69,2.47,1.8,2,1.44,1.57,3.23,2.18,,,,,,,
June,,,,,,0.07,3.39,3.38,1.93,1.01,1.47,1.69,1.07,1.48,0.77,4.09,3.32,2.09,0.69,1.37,0.99,2.33,,1.47,,,,,,,
July,,,,,,3.89,1.73,2.2,1.93,1.1,1.97,3.24,2.93,1.47,2.13,1.5,2.89,0.96,1.1,2.08,2.53,3.26,2.75,1.77,,,,,,,
August,,,,,,2.17,1.8,3.86,2.8,2.3,2.57,6.28,1.03,0.67,1.59,2.94,0.74,1.37,3.46,2.66,0.14,5.14,2.47,1.15,,,,,,,
September,,,,,,2.4,1.61,4.75,0.88,0.16,2.94,2.7,2.2,2.44,1.34,3.07,2.56,1.88,1.94,1.11,1.29,0.46,1.12,1.67,,,,,,,
October,,,,,,2.41,2.53,1.2,4.4,2.79,0.97,0.77,5.23,1.6,1.19,2.59,2.33,2.86,2.65,5.09,2.6,1.02,3.64,2.75,,,,,,,
November,,,,,,1.74,5.36,2.7,1.41,4.83,4.55,2.51,1.09,0.82,2.41,4.76,3.22,1.46,4.04,4.84,7.27,2.85,2.11,1.39,,,,,,,
December,,,,,,2.77,0.32,3.63,2.14,4.43,1.83,0.52,0.52,0.52,4.99,2.4,2.15,4.33,3.35,1.18,1.31,1.73,2.72,1.48,,,,,,,
Total,,,,,,25.83,27.02,33.42,25.42,20.23,24.79,28.32,24.98,19.11,21.87,29.3,26.61,31.97,22.36,29.04,26.57,28.06,,21.55,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halidon Claremont Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 8.30am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Total incorrect for given monthly values Sheet total 24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 June Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
