KEADBY - THE HOLLIES,,,,,,,,,,
Grid ref,SE835117,Long,-0.740,Lat,53.595,Elevation,16,ft,,
Station no,RR4721,,,,,,,,,
,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,3.54,3.11,1.41,2.63,0.62,2.95,1.32,3.09,2.13,1.73
February,1.30,0.56,0.58,2.38,3.05,0.72,1.54,1.99,1.93,0.18
March,2.44,1.99,1.82,1.14,3.66,1.23,0.94,2.88,2.20,0.78
April,0.31,1.98,0.47,0.62,1.20,1.79,1.27,1.48,4.27,
May,2.39,2.44,1.61,1.11,2.56,1.14,3.14,1.00,2.47,
June,4.45,1.12,1.85,0.80,1.65,1.64,0.85,1.54,1.67,
July,3.56,0.26,2.58,5.00,1.97,0.92,4.19,2.05,3.53,
August,4.79,0.90,3.01,3.04,3.62,5.19,2.53,2.32,0.83,
September,1.69,0.94,0.95,0.81,1.09,0.74,4.54,1.45,1.40,
October,2.56,2.49,2.34,1.09,1.90,3.18,1.24,2.82,1.72,
November,2.91,1.76,1.73,2.46,1.95,1.59,1.69,2.26,1.18,
December,1.88,1.46,4.49,4.49,2.14,1.38,3.74,3.32,2.47,
Total,31.82,19.01,22.84,25.57,25.41,22.47,26.99,26.20,25.80,
,,,,,,,,,,
TYRain_1910-1919_16_pt1/132,,,,,,,,,,
TYRain_1920-1930_17_pt1/117,,,,,,,,,,
,,,,,,,,,,
# Exact location not determined.,,,,,,,,,,
