THORPE-MANDEVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP533449,Long,-1.223302,Lat,52.099878,Elevation,530,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.76,1.13,4.19,2.54,2.4,2.83,2,3.85,1.58,2.57,0.97,1.45,,,2.89,2.06,3.05,2.77,0.96,0.88,2.56,1.78,1.25,2.02,1.43,3.08,1.25,2.55,0.97,3.4,3.91,,,2.57,2.3,0.93,3.99,1.09,1.31,1.17,2.08,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.07,1.28,2.1,1.3,1.92,1.5,2.73,1.45,1.86,3.47,3.98,3.47,,,1.02,3.2,0.81,0.8,1.72,1.76,1,0.07,0.77,2.51,2.15,0.15,0.45,3.17,1.18,3.13,4.15,,,1.57,4.64,1.1,2.65,1.43,1.33,0.63,3.66,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.38,1.23,2.19,2.44,1.01,0.87,3.68,2.35,0.79,1.08,1.57,1.93,,,1.72,1.07,2.01,1.57,3.39,2.98,1.23,1.09,0.76,0.25,1.19,2.32,2.3,4.65,1.03,0.86,0.54,,,3.48,2.28,2.83,1.46,0.72,4.37,2.94,0.92,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.59,2.57,2.61,0.63,1.34,2.19,3.7,2.96,2.3,3.12,2.06,0.77,,,2.21,2.49,2.28,1.33,1.76,2.82,0.86,1.13,0.73,0.13,2.15,1.59,1.02,1.5,2.45,2.18,0.95,,,2.09,1.24,2.5,0.61,2.67,3.05,2.17,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.86,1.05,1.6,2.45,1.89,1.96,0.46,3.95,5.35,3.58,0.92,1.3,,,0.78,2.71,3.64,2.26,1.2,3.59,1.39,3.71,1.23,1.87,1.8,0.39,0.24,1.46,3.65,1.85,1.3,,,3.36,2.71,0.8,1.71,4.23,2.8,1.75,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.87,3.91,2.82,4.09,0.38,3.03,1.79,0.92,2.22,5.7,2.47,2.58,,,1.23,2.58,1.68,1.82,2.04,1.71,2.59,1.46,2.4,0.77,2.07,0.82,2.6,2.7,0.51,0.95,4.36,,,4.09,0.41,3.38,3.65,2.66,1.57,4.27,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.97,4.15,4.07,1.84,1.82,6.31,0.79,4.56,1.42,4.09,7.39,3.65,,,2.17,0.16,3.35,1.14,5.32,2.43,4.21,1.91,1.8,3.31,2.88,3.38,1.18,0.47,1.28,1.41,0.6,,,3.47,2.69,0.5,0.76,2.24,2.23,3.2,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.97,0.8,2.72,2.15,2.42,1.35,2.35,4.97,5.21,3.98,0.59,5.73,,,2.11,2.98,1.87,0.88,2.68,2.89,1.92,4.18,2.63,2.37,2.2,2.4,2.01,4.73,2.06,1.15,4.58,,,3.66,2.16,4.39,0.98,2.36,3.16,3.08,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.23,5.39,1.47,1.59,3.58,2.71,5.5,2.12,1.97,3.47,4.48,1.49,,,1.04,3.9,2.02,2.54,0.81,2.55,1.34,1.28,3.12,0.71,1.86,1.24,5.73,2.36,0.77,2.45,0.63,,,2.02,2.42,1.08,1.21,0.88,1.67,2.94,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.98,1.33,3.46,2.19,3.25,8.08,2.07,1.73,2.87,0.79,6.27,3.9,,,1.28,4.21,4.58,2.5,0.49,2.89,1.33,6.67,3.67,2.32,2.76,2.81,3.29,1.97,4.5,2.76,2.24,,,6.73,0.96,1.45,4.5,5.4,0.95,4.63,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
