DORKING THE DENBIES (FOOT) ,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ163511,Long,-0.334,Lat,51.248,Elevation,180,ft,,,,,,,,,,,,
Station no ,113,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January ,,,,4.18,1.75,4.28,0.83,6.19,,,0.63,2.09,1.45,2.98,3.04,2.85,4.71,3.28,1.25,1.42
February ,,,,2.55,2.5,1.76,3.65,2.4,,,3.86,3.41,2.41,5.53,2.25,3.81,0.41,0.85,1.32,3.05
March ,,,,2.22,0.71,0.69,2.43,3.06,,,1.19,2.67,1.01,1.29,2.24,2.25,2.04,1.96,4.21,2.94
April ,,,,0.93,2.51,1.54,3.33,3.2,,,2.09,0.42,4.04,1.39,1.71,1.56,2.33,2.27,1.84,2.28
May ,,,,1.64,1.1,1.07,1.15,3.26,,,0.4,1.66,1.36,2.28,0.63,4.12,4.41,1.92,1.45,4.08
June ,,,,2.18,3.08,3.24,2.04,1.52,,,3.31,1.55,2.47,2.28,1.78,1.88,0.81,1.05,4.46,1.04
July ,,,,2.69,1.79,4.66,0.27,4.24,,,4.63,2.87,3.23,2.11,1.55,0.45,3.04,1.01,5.48,1.42
August ,,,,1.92,3.06,1.24,3.2,3.67,,,1.22,5.36,1.75,0.95,1.86,1.02,1.38,2.38,2.07,2.39
September ,,,,3.26,4.14,2.22,3.9,1.73,,,5.54,2.47,3,4.15,2.57,5.44,1.82,2.77,1.2,1.17
October ,,,,3.31,5.16,3.53,1.86,2.32,,,8.2,2.46,6.85,3.15,1.51,4.14,3.65,1.78,1.72,5.67
November ,,,,2.76,3.28,3.96,3.37,6.89,,,3.2,5.02,3.21,4.91,1.74,3.56,3.86,6.69,4.94,1.33
December ,,,,0.6,1.94,1.44,6.95,1.85,,,3.82,3.55,3.45,0.73,3.11,1.71,5.35,1.99,2.4,2.19
Total ,,,,28.24,31.02,29.63,32.98,40.33,,,38.09,33.53,34.23,31.75,23.99,32.79,33.81,27.95,32.34,28.98
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_01_pt2-page-053 added to location,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_01_pt3-page-051 added to location,,,,,,,,,,,,,,,,,,,,
