DORKING THE DENBIES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ148505,Long,-0.356772,Lat,51.242136,Elevation,610,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,0.08,,,,,,,,,,4,6.88,5.12,1.92,3.95,1.28,6.44,1.58,2.15,,,,,,,,,,,3.76,3.01,0.93,2.5,4.28,2.35,0.98,2.4,0.95,3.37,4.37,1.56,1.11,2.8,5.28,1.52,5.71,1.11,2.03,1.39,2.93,1.79,3.6,4.7,0.97,4.59,1.85,1.56,3.68,4.96,3.87,2.98,4.85,2.06,2.85,3.12,4.62,2.46,5.27,1.57,4.66,2.29,3.72,2.57,2.6,1.36,6.91,7.28,3.94,6.9,3.07,3.21,4.07,6.99,2.62,2.69,3.22,2.71,5.28,1.17,1.03,4.65,2.55,1.45,1.64,3.34,4.76,2.54,3.33,3.16,3.67,,
February,,,,,,,,,,,,0.62,,,,,,,,,,1.45,2.34,2.64,2.61,1.44,3.4,2.13,2.26,4.36,,,,,,,,,,,0.8,0.05,1.21,4.32,1.9,0.18,0.37,3.17,1.48,3.26,5.9,2.59,1.36,2.21,4.07,0.9,2.55,1.83,1.21,0.65,4.94,1.81,2.93,1.34,5.87,6.96,8.24,1.08,1.8,3.07,0.67,0.32,3.11,5.64,0.72,5.12,3.41,4.96,2.29,0.77,1.11,2.19,0.45,4.03,0.29,4.34,2.56,5.59,0.92,1.93,3.15,4.05,0.95,2.31,0.98,2.4,2.67,2.02,2.7,1.7,6.29,7.81,0.92,1.74,2.66,1.92,0.5,4.59,2.76,0.11,2.02,,
March,,,,,,,,,,,,3.24,,,,,,,,,,1.9,2.8,2.57,0.89,1.13,3.56,3.32,1.05,0.8,,,,,,,,,,,2.79,2.86,1.65,0.65,1.94,2.19,3.66,5.38,1.29,0.79,0.96,2.3,1.99,4.01,1.71,4.41,1.75,1.21,3.54,5.41,1.69,2.41,5.49,3.92,5.1,0.89,5.29,2.5,1.2,4.44,2.28,1.73,2.8,3.03,1.4,0.71,0.35,4.45,2.7,0.03,1.82,0.5,1.88,4.34,3,0.51,1.97,4.56,0.31,1.83,3.65,4.04,2.14,0.55,0.17,1.86,1.46,5.74,1.22,1.04,1.98,4.38,3.26,0.54,3.01,1.61,1.17,1.64,2.24,3.41,1.74,,
April,,,,,,,,,,,,2.17,,,,,,,,,,5.68,1.28,1.04,2.57,1.4,2.56,3.11,3.17,3.39,,,,,,,,,,,2.46,0.9,1.14,0.2,2.31,1.88,0.62,1.87,1.15,2.82,1.07,2.32,1.23,2.31,1.58,1.76,0.51,4.37,2.92,2.6,2.05,2.25,0.06,3.31,1.38,1.72,1.41,2.7,3.99,3.53,3.79,1.21,3.86,2.88,4.29,3.04,4.17,2.07,2.02,0.94,2,5.13,3.49,0.62,2.97,3.68,2.39,3.4,0.13,3.64,2.88,2.3,2.28,1.5,2.06,0.96,2.78,2.42,2.13,2.06,3.2,3.38,1.7,2.92,0.42,0.34,1.44,0.52,1.05,2.9,0.68,,
May,,,,,,,,,,,,0.42,,,,,,,,,,0.61,3.83,1.75,0.97,1.41,1.14,3.59,4.26,4.44,,,,,,,,,,,1.59,2.98,1.4,0.8,1.96,0.42,0.25,1.68,3.74,1.68,1.25,0.44,2.63,4.22,2.56,0.77,1.8,3.71,3.08,1.92,2.5,1.68,1.57,2.29,1.99,3.07,2.35,2.13,2.1,0.34,0.85,2.02,1.06,3.44,4.82,2.81,1.45,1.21,2.13,2.41,2.95,2.42,4.45,3.1,0.69,1.67,0.68,2.73,1.77,2.21,1.41,2.35,4.48,3.31,0.99,1.71,2.63,1.57,3,3.12,1.53,2.87,2.2,2.09,2.43,4.48,0.27,1.89,3.03,0.75,2.05,,
June,,,,,,,,,,,,3.6,,,,,,,,,,3.49,3.38,1.87,3.31,3.33,2.21,1.71,1.57,5.27,,1.54,,,,,,,,,2.96,1.61,2.37,0.94,2.59,0.37,3.01,1.71,1.31,1.43,2.47,2.01,4.2,5.71,0.94,5.48,2.28,1.92,2.05,3.69,2.61,2.84,3.83,0.72,0.7,1.46,2.41,1.5,1.5,1.06,1.68,0.1,1.52,0.45,3.17,0.2,3.82,4.45,3.41,1.81,0.64,1.33,1.72,1.14,0.89,5.96,3.59,1.88,0.72,1.71,0.5,3.53,0.17,1.86,2.26,3.13,2.71,3.27,3.14,0.73,1.36,1.04,1.46,1.68,4.64,2.45,3.02,0.95,3.9,0.67,2.62,,
July,,,,,,,,,,,,2.1,,,,,,,,,,4.1,2.47,2.71,1.73,5.24,0.5,4.11,1.69,4.23,,2.79,,,,,,,,,4.3,3.42,2.11,2.65,4.72,4.92,1.4,1.47,0.62,2.27,1.16,2.59,1.73,4.45,1.54,0.75,0.58,1.91,2.9,3.84,3.89,0.68,1.93,3.25,2.41,5.38,1.56,4.77,4.85,2.43,6.07,0.38,5.07,2.74,5.29,3.78,2.13,3.12,1.89,1.61,3.51,3.49,3.15,2.46,2.08,0.77,4.85,1.99,2.54,3.42,2.44,4.12,2.62,2.2,1.83,3.8,1.65,2.37,1.52,1.28,4.04,2.24,0.77,4.99,3.62,0.92,5.25,3.98,1.52,1.7,2.9,,
August,,,,,,,,,,,,1,,,,,,,,,,1.43,2.24,2.94,3.12,1.12,2.93,4.07,4.66,5.27,,5.26,,,,,,,,,3.34,5.32,3.47,0.82,3.01,2.92,2.22,3.04,1.06,0.67,3.9,1.9,2.94,6.45,1.87,2.86,0.51,3.36,4.65,3.28,3.62,0.59,7.98,1.7,1.51,2.64,2.97,6,1.22,2.86,1.71,1.62,2.83,3.18,3.34,2.67,1.91,4.56,3.24,2.17,4.63,6.22,0.43,1.06,2.27,4.14,0.8,1.13,2.2,2.72,0.25,4.9,2.74,1.94,2.55,1.24,5.9,0.5,5.32,1.71,3.3,4.68,3.6,1.71,3.01,0.68,3.66,3.43,2.84,1.66,3.63,,
September,,,,,,,,,,,,2.19,,,,,,,,,,6.41,1.79,3.4,4.25,1.96,3.7,1.63,1.33,3.91,,2.41,,,,,,,,,0.79,1.67,2.43,1.57,1.91,0.69,7.31,2.8,0.87,3.01,1.02,2.33,0.78,3.99,1.86,2.11,1.73,0.58,2.09,3.31,0.91,1.25,3.82,2.34,1.2,2.38,1.92,2.04,5.88,2.16,3.41,1.36,2.43,1.78,3.99,3.38,0.78,6.8,1.41,0.13,3.97,2.11,2.47,2.59,2.07,4.2,3.1,3,2.53,1.93,1.98,0.41,2.74,2.38,2.54,2.81,4.57,1.6,2.54,0.65,3.81,3.37,3.01,3.89,2.73,2.08,2.72,3.06,5.71,0.23,3.11,,
October,,,,,,,,,,,,2.14,,,,,,,,,,1.39,7.42,3.41,5.6,5.26,2,2.56,2.93,0.66,,2.34,,,,,,,,,1.31,7.69,4.43,4.08,5.23,3.25,3.86,0.7,4.06,2.71,2.24,2.73,2.44,8.35,2.38,1.9,4.24,6.64,2.62,5.96,3.93,5.14,3.41,4.87,1.91,3.15,5.99,3.94,1.62,0.87,2.25,0.54,1.29,6.84,4.49,3.86,2.59,2.53,6.9,4.25,1.53,0.67,6.42,2.27,2.35,4.25,2.11,3.28,4.01,6.79,3.86,1.61,3.79,4.05,4.67,4.03,1.35,0.38,2.23,7.95,0.46,1.26,3.8,4.19,2.99,3.92,1.52,2.05,3.09,3.19,8.38,,
