HARPENDEN (SAUNCEY AVENUE),,,,,,,,,,,,
Grid ref,TL139150,Long,-0.348817,Lat,51.822024,,,,,,,
Station no,958/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.51,4.73,1.15,2.64,3.20,2.82,,
February,,,,,2.24,0.68,2.96,2.98,0.05,2.32,,
March,,,,,1.36,0.99,1.16,1.59,2.40,1.65,,
April,,,,,0.46,1.08,0.28,1.38,2.11,0.47,,
May,,,,,4.28,0.64,1.22,1.97,0.65,1.51,,
June,,,,,2.22,3.43,2.15,4.70,0.82,1.75,,
July,,,,,0.22,2.22,2.56,1.91,4.49,2.77,,
August,,,,,0.78,4.97,2.15,2.80,1.42,3.20,,
September,,,,1.96,1.41,2.20,3.03,3.35,0.13,3.95,,
October,,,,2.26,3.10,1.73,2.40,2.36,2.13,6.30,,
November,,,,4.83,1.94,0.80,2.12,2.41,2.19,4.33,,
December,,,,1.85,2.41,3.53,2.31,3.32,4.26,3.65,,
Total,,,,,22.93,27.00,23.49,31.41,23.85,34.72,,
Calc annual,0.00,0.00,0.00,10.90,22.93,27.00,23.49,31.41,23.85,34.72,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
