"BOURTON -ON-THE-WATER EASTFIELD",,,,,,,,,,,,
Grid ref,SP168207,Long,-1.757323,Lat,51.884610,,,,,,,
Station no,2209,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,1.21,1.03,3.48,3.78,1.19,5.22,1.00,1.59,1.27,,
February,6.25,1.50,1.50,1.60,4.96,0.84,2.29,1.59,1.28,0.40,,
March,0.77,2.72,1.70,3.78,1.68,3.86,1.52,1.09,3.10,3.96,,
April,0.92,3.23,1.74,2.31,1.00,2.43,0.89,2.76,3.47,2.45,,
May,1.93,1.27,2.38,4.77,3.11,0.28,1.61,3.11,2.00,1.61,,
June,2.09,2.18,2.53,4.36,1.15,4.92,2.81,2.68,1.11,3.60,,
July,1.20,2.68,1.24,4.14,2.32,0.56,1.08,3.99,3.14,2.08,,
August,4.49,2.24,3.01,2.94,2.67,4.69,1.20,2.29,3.81,2.42,,
September,0.53,1.68,1.49,2.51,2.42,1.26,0.79,0.58,1.20,3.86,,
October,3.16,1.85,2.28,6.50,0.66,1.36,5.48,7.65,2.00,4.35,,
November,2.80,1.05,2.80,2.40,1.78,3.62,3.71,2.03,1.30,0.78,,
December,5.35,5.11,2.58,1.86,2.11,1.16,2.38,4.41,2.80,4.33,,
Total,32.96,26.72,24.28,40.65,27.64,26.17,28.98,33.18,26.80,31.11,,
Calc annual,32.96,26.72,24.28,40.65,27.64,26.17,28.98,33.18,26.80,31.11,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
