BOURTON-ON-WATER-EASTFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP168207,Long,-1.757323,Lat,51.88461,Elevation,434,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.75,3.3,2.8,1.17,2.47,2.51,4.17,0.85,2.04,0.8,4.36,3.47,1.21,1.03,3.48,3.78,1.19,5.22,1,1.59,1.27,2.8,1.23,4.98,4.96,0.94,3.63,1.83,2.12,3.19,4.55,3.46,2.75,3.71,2.26,3.57,1.92,4.58,3.35,4.8,1.26,4.62,1.88,2.93,2.41,2.65,0.75,3.7,4.29,3.65,6.04,2.81,3.41,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.94,0.46,0.02,1.47,3.91,2.2,0.11,0.36,3.01,1.6,3.12,6.25,1.5,1.5,1.6,4.96,0.84,2.29,1.59,1.28,0.4,4.73,1.68,2.21,1.34,3.06,5.32,5.13,1.07,1.22,3.12,1.03,0.4,3.44,5.9,0.48,4.01,2.26,3.85,2.74,0.63,0.46,2.39,0.17,3.69,0.35,3.1,2.43,5.08,0.98,1.62,3.12,3.04,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.26,1.13,1.97,1.07,0.17,2.1,3.02,2.76,5.03,0.84,0.6,0.77,2.72,1.7,3.78,1.68,3.86,1.52,1.09,3.1,3.96,0.7,2.14,4.59,4.15,3.96,0.94,4.22,2.4,1.52,4.84,3.12,1.33,2.66,2.38,1.34,0.44,0.75,2.89,3.1,0.05,1.85,0.19,2.04,2.95,2.43,0.43,2.12,3.75,0.26,2.05,2.25,3.12,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.07,1.1,1.09,0.86,0.11,1.95,2.81,0.73,1.78,2.07,2.01,0.92,3.23,1.74,2.31,1,2.43,0.89,2.76,3.47,2.45,3.04,0.89,0.1,3.88,1.09,1.08,1.45,1.84,2.72,2.63,5.2,1.46,3.05,2.68,3.33,2.16,3.82,1.53,0.77,1.43,3.27,3.81,3.55,1.1,2.37,4.85,1.66,2.78,0.07,3.76,2.07,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.97,2.2,3.75,1.22,1.53,1.88,0.64,0.26,0.96,5.08,1.63,1.93,1.27,2.38,4.77,3.11,0.28,1.61,3.11,2,1.61,1.55,1.57,2.32,2.41,1.65,2.97,2.38,3.93,2.12,0.54,1.92,1.53,0.58,1.62,6.44,3.96,2.85,0.95,0.69,2.33,1.29,3.89,6.09,1.9,0.87,0.93,0.83,2.12,1.86,0.91,1.69,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.94,1.86,2.26,2.26,1.07,1.92,1.09,3.11,2.58,0.98,1.35,2.09,2.18,2.53,4.36,1.15,4.92,2.81,2.68,1.11,3.6,3.47,2.24,5.41,0.69,2.7,2.3,2.12,1.53,0.94,1.07,3.26,0.44,0.73,0.27,2.31,0.14,2.51,3.94,2.69,1.14,1.5,4.44,1.11,1.38,1.43,3.34,2.87,1.65,1,2.06,0.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.19,3.59,3.01,2.48,3.66,2.78,3.43,0.9,1.75,0.77,1.23,1.2,2.68,1.24,4.14,2.32,0.56,1.08,3.99,3.14,2.08,2.28,0.46,4.39,2.36,3.97,3.65,1.6,2.02,3.23,2.21,3.92,0.3,4.75,3.22,3.96,4.4,1.92,2.5,2.37,1.76,3.4,3.42,1.81,1.29,1.43,0.96,5,2.25,2.24,5.54,3.47,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.04,2.5,5.49,3.12,1.73,1.95,3.09,2.26,6.28,2.54,1.66,4.49,2.24,3.01,2.94,2.67,4.69,1.2,2.29,3.81,2.42,3.76,1.61,6.76,0.79,1.6,2.4,3.95,5.03,0.88,2.48,1.58,2.45,5.07,2.26,2.9,2,1.2,4.26,1.87,1.53,2.54,3.56,2.96,0.52,2.4,1.8,0.28,0.64,2.62,2.17,0.17,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.85,1.39,1.82,2.55,0.9,2.36,0.83,6.27,2.1,1.13,2.02,0.53,1.68,1.49,2.51,2.42,1.26,0.79,0.58,1.2,3.86,0.36,1.68,0.8,3.05,1.37,1.42,1.89,2.56,5.32,1.87,1.54,1.54,2.32,2.78,4.11,3.3,1.33,6.13,0.71,0.92,3.31,1.83,2.79,2.12,2.51,4.6,4.93,1.47,3.07,1.41,0.68,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.57,1.52,7.02,2.78,2.76,4.05,3.39,3.57,1.7,3.25,2.31,3.16,1.85,2.28,6.5,0.66,1.36,5.48,7.65,2,4.35,3.12,2.81,3.22,4.96,2.3,3.41,4.97,4.5,1.68,1.91,2.98,1.45,0.78,5.09,3.93,3.16,2.73,1.84,4.58,4.01,2.04,0.65,4.49,3.23,1.5,4.25,1.59,3.61,3.76,4.16,3.88,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
