BABCARY-THE-CEDARS,,,,,,,,,,,,,,,,,,,,
Grid ref,ST573288,Long,-2.60999,Lat,51.05708,Elevation,150,ft,,,,,,,,,,,,
Station no,2077/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.43,4.24,0.52,0.27,2.58,2.17,0.92,1.41,3.06,3.31,2.29,2.2,3.71,2.91
February,,,,,,,1.15,1.11,1.08,4.84,4.58,0.98,1.57,2.5,1.48,0.16,3.5,2.89,0.27,2.29
March,,,,,,,5.35,0.92,1.59,0.76,2.94,3.48,0.57,3.77,1.11,0.6,1.69,0.61,3.29,1.58
April,,,,,,,1.64,1.76,1.49,2.19,3.19,1.83,2.58,0.4,1.15,1.47,0.21,0.71,1.73,1.95
May,,,,,,,2.06,3.9,2.37,1.55,2.69,3.15,1.6,1.71,3.92,0.49,1.45,1.74,1.42,1.65
June,,,,,,,1.71,2.43,0.36,2.62,1.46,2.97,2.48,2.84,2.79,1.47,2.56,3.36,0.83,1.2
July,,,,,,,2.33,1.66,1.46,4.22,1.97,0.65,4.06,3.03,0.99,2.46,3.06,2.15,1.56,4.45
August,,,,,,,0.79,2.86,1.48,4.1,6.09,4.47,3.17,3.97,1.66,3.61,2.62,3.55,1.06,4.42
September,,,,,,,1.3,1.49,2.3,4,3.48,3.05,2.56,2.5,1.16,3.53,3.19,4.49,0.11,3.34
October,,,,,,0.85,0.56,3.14,7.05,1.31,0.83,3.55,2.52,2.74,1.86,1.44,2.53,1.7,2.81,6.81
November,,,,,,4.16,1.57,1.57,4.03,5.6,7.06,4.22,1.67,5.62,2.72,0.83,1.61,2.86,3.8,3.07
December,,,,,,3.04,2.74,4.36,1.62,2.15,2.77,2.92,0.75,2.83,3.92,3.24,2.49,3.26,5.8,2.78
Total,,,,,,,23.63,29.44,25.35,33.61,39.64,33.44,24.45,33.32,25.82,22.61,27.2,29.52,26.39,36.45
,,,,,,,,,,,,,,,,,,,,
1947 Seems low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Babcary SRC_ID 9262,,,,,,,,,,,,,,,,,,,,
1946-1977,,,,,,,,,,,,,,,,,,,,
