ELMWORTH PORT GLASGOW,,,,,,,,,,,,
Grid ref,NS3141074523,Long,-4.700436,Lat,55.934118,,,,,,,
Station no,RR8924,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,8.91,,
February,,,,,,,,,4.33,2.79,,
March,,,,,,,,,6.22,2.21,,
April,,,,,,,,,1.84,5.72,,
May,,,,,,,,,2.95,3.51,,
June,,,,,,,,,2.92,4.02,,
July,,,,,,,,,3.95,3.76,,
August,,,,,,,,,4.99,3.28,,
September,,,,,,,,,7.28,2.73,,
October,,,,,,,,,1.83,9.34,,
November,,,,,,,,,5.22,3.60,,
December,,,,,,,,,7.25,7.65,,
Total,,,,,,,,,,57.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.78,57.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
