ELMWORTH PORT GLASGOW,,,,,,,,,,,,,,,,,,,,
Grid ref,NS3141074523,Long,-4.700436,Lat,55.934118,Elevation,107,ft,,,,,,,,,,,,
Station no,RR8924,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,8.91,9.31,6.23,7.28,8.5,5.39,4.99,,,,
February,,,,,,,,,4.33,2.79,8.07,9.55,5.34,4.51,7.89,10.37,,,,
March,,,,,,,,,6.22,2.21,3.47,1.89,7.16,9.07,7.73,3.34,,,,
April,,,,,,,,,1.84,5.72,4.49,4.23,2.96,5.31,4.63,5.21,,,,
May,,,,,,,,,2.95,3.51,2.84,3.85,2.38,4.73,2.01,1.5,,,,
June,,,,,,,,,2.92,4.02,2.3,4.12,5.64,4.18,0.95,1.9,,,,
July,,,,,,,,,3.95,3.76,5.26,3.39,3.1,1.69,2.79,3.35,,,,
August,,,,,,,,,4.99,3.28,9.21,5.07,4.56,1.66,4.97,2.1,,,,
September,,,,,,,,,7.28,2.73,1.73,2.47,3.19,2.98,2.27,1.21,,,,
October,,,,,,,,,1.83,9.34,3.3,4.83,7.05,3.79,2.6,4.22,,,,
November,,,,,,,,,5.22,3.6,4.55,7.84,6.07,7.93,7.52,2.99,,,,
December,,,,,,,,,7.25,7.65,6.66,12.12,14.03,5.48,11.68,6.03,,,,
Total,,,,,,,,,,57.52,61.19,65.59,68.76,59.83,60.43,47.21,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8924,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
