FIRSBY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF457633,Long,0.177,Lat,53.147,Elevation,26,ft,,,,,,,,,,,,,
Station no,2560/9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
January,3.16,2.37,3.24,1.36,1.75,2.33,3.87,2.36,2.47,1.35,1.72,3.81,1.13,0.78,2.79,1.90,0.95,1.30,1.89,4.99,1.10
February,2.22,0.70,0.52,2.02,1.84,1.13,0.49,2.22,1.88,2.29,1.07,0.90,0.60,3.20,2.85,0.57,1.18,2.56,2.35,0.80,2.86
March,2.94,0.16,2.16,1.54,2.84,0.95,0.42,0.39,0.68,0.78,4.11,0.50,0.56,0.58,2.84,2.91,0.85,2.12,2.10,1.02,1.44
April,3.11,0.31,2.37,1.14,0.64,0.61,1.05,1.87,1.53,0.78,2.12,1.55,2.04,2.32,2.92,0.96,2.53,0.53,0.64,1.04,0.38
May,4.24,2.42,1.06,1.57,1.36,3.05,2.32,1.63,1.46,1.49,0.25,2.46,2.28,2.59,3.50,2.18,2.62,2.57,3.50,0.93,1.69
June,1.90,0.76,2.54,0.71,0.25,1.74,1.86,2.21,1.67,2.27,2.08,3.14,0.69,1.62,0.91,1.51,3.46,2.51,3.86,2.19,2.00
July,1.75,2.54,2.57,3.70,2.79,2.76,0.76,3.45,1.20,4.33,1.47,1.34,1.87,2.78,0.63,0.46,1.62,1.89,0.61,2.94,2.10
August,1.36,2.78,1.70,1.03,4.36,1.42,1.91,2.85,4.75,3.00,0.06,3.72,1.71,2.37,3.50,2.07,2.10,3.74,0.87,3.33,2.40
September,0.90,2.72,1.62,0.90,0.69,1.26,1.69,4.18,1.79,3.79,1.28,2.73,1.32,2.71,1.72,2.25,0.88,2.23,1.13,1.60,3.13
October,1.66,2.04,4.02,2.20,2.43,1.99,0.65,2.38,2.12,2.23,0.23,1.93,4.16,0.91,1.19,2.39,2.07,2.83,1.86,0.61,1.76
November,2.09,1.90,4.04,3.06,2.88,2.75,2.53,3.79,0.83,4.44,1.47,0.92,2.61,4.29,3.15,2.64,1.50,3.84,0.95,1.07,2.15
December,2.92,4.36,2.39,1.44,0.56,1.07,0.68,0.97,2.25,1.84,2.19,2.99,1.51,2.00,1.25,1.89,0.98,1.99,2.02,1.40,2.10
Total,28.25,23.06,28.23,20.67,22.39,21.06,18.23,28.30,22.63,28.59,18.05,25.99,20.48,26.15,27.25,21.73,20.74,28.11,21.78,21.92,23.11
,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/150,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/237,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/236,,,,,,,,,,,,,,,,,,,,,
