"KINETON",,,,,,,,,,,,
Grid ref,SP335512,Long,-1.511724,Lat,52.158065,,,,,,,
Station no,2441/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.97,,
February,,,,,,,,,,1.72,,
March,,,,,,,,,,0.86,,
April,,,,,,,,,,0.62,,
May,,,,,,,,,0.46,1.45,,
June,,,,,,,,,1.01,3.15,,
July,,,,,,,,,1.36,3.93,,
August,,,,,,,,,0.74,4.59,,
September,,,,,,,,,0.11,3.74,,
October,,,,,,,,,2.16,3.96,,
November,,,,,,,,,1.98,3.29,,
December,,,,,,,,,3.68,2.98,,
Total,,,,,,,,,,34.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,34.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
