FEATHERBED-MOSS-REDGATE-CLOUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SK087919,Long,-1.8705469,Lat,53.423825,Elevation,1730,ft.,,,,,,,,,,,,
Station no,RR7339,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.6,1.9,4.4,2.3,4.1,1.9,4.1,4.6,4.7,,,,,
February,,,,,,,3,2,4,3.6,4.7,5.8,1.9,1.6,2.8,,,,,
March,,,,,,,3.6,3.9,3.4,4,1.2,3.3,6.1,6,6.1,,,,,
April,,,,,,,2.1,3.2,2.7,3.5,5.3,4.1,1.6,4.3,2.7,,,,,
May,,,,,,,4.43,5,3.8,2.6,4.2,2,3.4,3.6,3.3,,,,,
June,,,,,,,1.8,8.6,2.3,4.9,4.3,4.9,5.9,3.5,3.9,,,,,
July,,,,,,,3.7,3.3,5.7,8.5,7.5,1,7.1,1.9,5.8,,,,,
August,,,,,,,5.1,5.9,4,3.8,8.2,2.8,10.8,2.9,5.1,,,,,
September,,,,,,,2.3,1,4.7,3.6,0.6,3.7,4.8,2.6,4,,,,,
October,,,,,,,7.4,7.4,1.6,7,3.7,4.4,4.2,4.2,4,,,,,
November,,,,,,,6.5,4,4.2,2.3,4.7,5.4,3.6,5.8,6.1,,,,,
December,,,,,,,4,4.4,3.6,7,6.4,7.9,6.1,3.2,6.5,,,,,
Total,,42.9,51.8,59.4,37.7,43.5,49.53,50.6,44.4,53.1,54.9,47.2,59.6,44.2,55,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is on Featherbed Moss near Red Gate Clough, also called Red Clough, at the stated altitude.",,,,,,,,,,,,,,,,,,,,
