FEATHERBED MOSS REDGATE CLOUGH NO 44,,,,,,,,,,,,
Grid ref,SK086919,Long,-1.872052,Lat,53.423827,,,,,,,
Station no,RR7339,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.60,1.90,4.40,2.30,,
February,,,,,,,3.00,2.00,4.00,3.60,,
March,,,,,,,3.60,3.90,3.40,4.00,,
April,,,,,,,2.10,3.20,2.70,3.50,,
May,,,,,,,4.43,5.00,3.80,2.60,,
June,,,,,,,1.80,8.60,2.30,4.90,,
July,,,,,,,3.70,3.30,5.70,8.50,,
August,,,,,,,5.10,5.90,4.00,3.80,,
September,,,,,,,2.30,1.00,4.70,3.60,,
October,,,,,,,7.40,7.40,1.60,7.00,,
November,,,,,,,6.50,4.00,4.20,2.30,,
December,,,,,,,4.00,4.40,3.60,7.00,,
Total,,42.90,51.80,59.40,37.70,43.50,49.53,50.60,44.40,53.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,49.53,50.60,44.40,53.10,,
Difference,NaN,42.90,51.80,59.40,37.70,43.50,0.00,0.00,-0.00,0.00,,
