LLYN-Y-FAN-FACH-BWAR-LLYN-OLD,,,,,,,,,,
Grid ref,SN704219,Long,-3.8842462,Lat,51.880558,Elevation,1650,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.99,,,,,,,
February,,,8.12,,,,,,,
March,,,18.33,,,,,,,
April,,,0.81,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,3.76,,,,,,,,
September,,6.66,,,,,,,,
October,,7.95,,,,,,,,
November,,14.75,,,,,,,,
December,,18.7,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is based on the relationship with the outlets described on the record. The stated altitude of 1380ft.  is not consistent with the statement that the gauge is 12 ft. above the water level, if this is referring to the lake, which is at 1650 ft. give or take a few feet.",,,,,,,,,,
