"CARR HILL, BRIGGSWATH",,,,,,,,
Grid ref,NZ872088,Long,-0.656,Lat,54.467,Elevation,150,ft
Station no,RR4585,,,,,,,
,,,,,,,,
,1917,1918,1919,,,,,
January,,1.52,2.78,,,,,
February,,1.06,1.45,,,,,
March,,1.20,5.12,,,,,
April,,1.53,1.70,,,,,
May,1.36,2.09,0.83,,,,,
June,2.62,0.77,1.18,,,,,
July,1.73,2.20,,,,,,
August,6.89,2.35,,,,,,
September,0.81,3.90,,,,,,
October,2.23,1.89,,,,,,
November,1.78,1.14,,,,,,
December,1.33,3.52,,,,,,
Total,,23.17,,,,,,
,,,,,,,,
TYRain_1910-1919_21_pt1/045,,,,,,,,
,,,,,,,,
"# The gauge came from Brook Park in April 1917, and went back to somewhere near there in July 1919.",,,,,,,,
