"BROOK PARK, BRIGGSWATH",,,,,,,,,,,,
Grid ref,NZ869083,Long,-0.661,Lat,54.463,Elevation,80,ft,,,,
Station no,RR4585,,,,,,,,,,,
,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.46,0.98,2.61,2.12,3.12,4.43,1.62,3.79,0.96,3.43,,
February,2.63,1.14,3.01,1.05,1.54,0.76,2.26,4.22,2.80,0.63,,
March,3.14,5.26,0.72,1.96,2.67,2.77,2.21,1.40,3.13,2.21,,
April,2.63,2.49,2.06,0.52,0.29,3.10,0.64,1.12,1.51,,,
May,1.47,1.57,2.63,1.14,2.91,2.56,1.08,1.77,2.65,,,
June,0.98,2.98,1.97,5.42,5.23,1.56,2.06,0.26,1.88,,,
July,1.64,2.89,2.24,1.45,5.25,1.02,5.27,5.89,1.25,,,
August,2.34,5.45,2.78,3.33,3.34,1.05,0.75,2.56,3.02,,,2.43
September,1.78,1.72,1.06,2.50,2.45,1.37,1.31,2.01,1.14,,,1.21
October,1.20,2.08,2.74,1.94,2.89,4.45,1.99,1.62,3.14,,,5.24
November,1.43,0.98,3.60,3.45,3.03,1.37,3.04,2.40,3.83,,,2.93
December,2.96,4.14,2.84,4.65,1.06,1.53,6.14,5.75,3.91,,,3.21
Total,23.66,31.68,28.26,29.53,33.78,25.97,28.37,32.79,29.22,,,
,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/069,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/045,,,,,,,,,,,,
,,,,,,,,,,,,
"# The gauge moved about 600 yards NE to Carr Hill in April 1917, and came back to somewhere fairly close to its original location in July 1919.",,,,,,,,,,,,
#,,,,,,,,,,,,
# Readings for April 1917 and July 1919 are estimates and have been omitted.,,,,,,,,,,,,
