"SLEIGHTS BROOK PARK",,,,,,,,,,,,
Grid ref,NZ868082,Long,-0.662457,Lat,54.461770,,,,,,,
Station no,RR4585,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.46,0.98,,
February,,,,,,,,,2.63,1.14,,
March,,,,,,,,,3.14,5.26,,
April,,,,,,,,,2.63,2.49,,
May,,,,,,,,,1.47,1.57,,
June,,,,,,,,,0.98,2.98,,
July,,,,,,,,,1.64,2.89,,
August,,,,,,,,,2.34,5.45,,
September,,,,,,,,,1.78,1.72,,
October,,,,,,,,,1.20,2.08,,
November,,,,,,,,,1.43,0.98,,
December,,,,,,,,,2.96,4.14,,
Total,,,,,,,,,23.66,31.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.66,31.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
