ASHURSTWOOD (S.W.),,,,,,,,,,,,
Grid ref,TQ532382,Long,0.187726,Lat,51.122605,,,,,,,
Station no,582/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.69,,
February,,,,,,,,,,3.03,,
March,,,,,,,,,,2.50,,
April,,,,,,,,,3.20,0.87,,
May,,,,,,,,,0.51,1.45,,
June,,,,,,,,,1.22,2.24,,
July,,,,,,,,,1.92,4.73,,
August,,,,,,,,,0.99,4.16,,
September,,,,,,,,,0.10,2.47,,
October,,,,,,,,,3.84,9.14,,
November,,,,,,,,,4.07,7.32,,
December,,,,,,,,,8.83,4.40,,
Total,,,,,,,,,,46.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.68,46.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
