GLEN GARRY (SRONPHADRUIG LODGE),,,,,,,,,,,
Grid ref,NN 71600 78275,Long,-4.108526,Lat,56.878039,Elevation,1525,ft,,,
Station no,RR4068,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,8.86,7.1,7.22,4.24,7.92,8.31,5.4,,,
February,,1.22,6.25,10.8,2.86,7.4,5.5,4.8,,,
March,,7.89,5.02,3.05,1.2,4.26,3.79,3,,,
April,,1.6,3.7,4.88,3.2,4.77,3.4,3.7,,,
May,,4.2,5.2,4.54,4.43,7.23,3.75,2.5,,,
June,,0.5,3.14,2.23,2.05,1.47,4.5,4.1,4.5,,
July,3.95,3.55,4.52,5.51,6.19,2.86,3.4,2.2,,,
August,3.06,4.92,3.62,6.92,6.25,2.71,3.8,3.95,,,
September,3.62,2.75,3.25,6.14,8.32,3.75,3,1.4,4.2,,
October,3.21,3.95,3.7,9.25,4.95,5,5.38,2.87,,,
November,8.78,4.48,4.38,4.83,4.1,1.61,7,3.24,,,
December,6.55,8.15,6.42,5.39,10.1,5.97,2.5,1.5,,,
Total,,52.07,56.3,70.76,57.89,54.95,54.33,38.66,,,
,,,,,,,,,,,
1922  P corr for snow,,,,,,,,,,,
1923  P corr for snow,,,,,,,,,,,
1924  P corr for snow,,,,,,,,,,,
1925  P corr for snow,,,,,,,,,,,
1927 NP Low,,,,,,,,,,,
,,,,,,,,,,,
Station no,RR4068,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd stn,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
