"EDENDON (STRONPHADRUIG LODGE)",,,,,,,,,,,,
Grid ref,NN714791,Long,-4.112215,Lat,56.885387,,,,,,,
Station no,RR4068,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.75,5.65,5.30,6.52,4.50,5.95,4.40,7.02,4.55,7.53,,
February,7.40,4.30,3.50,7.90,2.50,4.05,6.85,3.83,2.93,6.95,,
March,2.75,4.95,2.00,7.00,5.20,3.82,7.00,2.56,4.84,2.43,,
April,4.75,3.75,3.00,2.60,2.25,2.75,2.30,2.78,4.43,6.22,,
May,1.85,4.80,5.97,4.65,4.09,5.24,2.95,5.33,2.33,2.33,,
June,3.84,3.10,3.00,4.20,2.75,6.30,2.40,2.27,2.98,3.67,,
July,3.63,2.30,6.40,3.82,0.45,6.15,5.65,5.92,4.67,3.74,,
August,7.80,4.13,4.20,3.75,1.85,6.02,9.60,5.01,2.66,6.58,,
September,4.15,5.00,5.10,9.15,4.87,7.57,4.02,7.28,1.32,4.47,,
October,1.75,8.05,4.11,10.75,6.80,6.50,5.95,5.97,8.83,3.92,,
November,8.70,4.20,8.76,12.55,2.99,4.98,2.18,1.95,8.19,6.13,,
December,7.75,5.50,8.65,13.30,12.10,11.70,9.95,5.72,11.40,7.09,,
Total,62.12,55.73,59.99,86.19,50.35,71.03,70.25,55.64,59.13,61.06,,
Calc annual,62.12,55.73,59.99,86.19,50.35,71.03,63.25,55.64,59.13,61.06,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,,
