"LOCH MORAR (RHUBANA)",,,,,,,,,,,,
Grid ref,NM688922,Long,-5.804774,Lat,56.963048,,,,,,,
Station no,5714/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.40,6.79,7.12,6.41,3.32,6.01,10.83,8.85,4.65,3.67,,
February,4.06,4.22,5.39,4.77,4.62,4.58,4.30,3.86,3.32,4.12,,
March,3.97,5.74,2.94,5.59,1.58,2.38,5.82,1.69,6.17,1.19,,
April,5.47,4.58,5.64,2.81,6.45,3.28,4.11,3.53,4.50,5.48,,
May,0.59,3.76,3.56,3.59,3.64,6.04,1.90,5.10,1.57,2.99,,
June,2.61,6.42,1.42,7.02,5.03,3.60,5.25,2.27,5.42,4.94,,
July,8.22,4.51,6.49,4.97,2.05,7.76,8.02,2.79,9.42,3.48,,
August,4.19,6.42,8.17,7.07,2.08,4.94,5.93,4.55,5.20,4.36,,
September,6.29,6.81,7.27,9.38,9.29,5.91,4.50,4.26,3.90,4.84,,
October,5.46,7.85,7.01,11.15,8.86,6.97,10.93,10.89,9.91,1.09,,
November,7.62,3.48,13.25,10.32,2.55,7.38,4.31,3.37,8.25,8.02,,
December,13.94,7.37,8.44,10.31,7.73,12.60,9.02,5.43,8.33,8.95,,
Total,71.82,67.95,76.70,83.39,57.20,71.45,74.92,56.59,70.64,53.13,,
Calc annual,71.82,67.95,76.70,83.39,57.20,71.45,74.92,56.59,70.64,53.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
