CALBOURNE-NEW-WELL,,,,,,,,,,
Grid ref,SZ425859,Long,-1.39892,Lat,50.672,Elevation,230,ft,,
Station no,599/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,1.24
May,,,,,,,,,,2.17
June,,,,,,,,,,
July,,,,,,,,,,4.18
August,,,,,,,,,,5.46
September,,,,,,,,,,6.84
October,,,,,,,,,,8.53
November,,,,,,,,,,6.25
December,,,,,,,,,,5.09
Total,,,,,,,,,,
,,,,,,,,,,
1960 Inspection found gauge over-exposed but best site available,,,,,,,,,,
Distance to Pumping House given as 30ft WNW,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Wight: Calbourne P Sta SRC_ID 7732,,,,,,,,,,
Station still in use 2021,,,,,,,,,,
