"KILPATRICK HILLS, BURNCROOKS RESERVOIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 483795,Long,-4.4331457,Lat,55.984421,Elevation,835,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,4.1,5.67,6.66,4.65,3.38,3.31,4.1,4.45,9.12,2.75,5.5,3.15,5.64,9.86,10.5,7.12,6.95,,,,,,
February,,,,,,,,,2.01,2.57,3.88,7.23,4.72,2.75,5.5,4.55,4,1.15,6.15,,4.32,2.42,6.5,6.58,1.4,,,,,,
March,,,,,,,,,4.09,1.97,2.79,1.86,6.45,5.2,5.35,4.32,0.85,2.15,1.62,9.34,6.64,8.6,3.2,2.05,1.45,,,,,,
April,,,,,,,,,1.87,3.24,4.9,3.49,3.02,3.96,3.15,2.8,4,1.21,0.72,0,3.4,1.93,3.27,5.25,,,,,,,
May,,,,,,,,,2.7,2.75,1.93,2.59,2.03,3.7,2.12,1.15,4.4,2.15,2.21,1.72,5.32,2.87,5.8,2.5,,,,,,,
June,,,,,,,,,2.59,3.3,2.41,3.41,5.25,2.32,1,1.89,3.25,3.4,1.06,5.07,2.96,2,1.97,1.58,,,,,,,
July,,,,,,,,,2.62,4.76,3.17,4.16,2.2,1.09,3.4,4.28,2.78,1.7,3.5,0.68,6,1.78,3,6.3,,,,,,,
August,,,,,,,,,3.41,2.29,9.15,2.71,1.26,1.35,5.9,1.95,-999,3.6,3.36,2.8,6.5,10,3.64,8,,,,,,,
September,,,,,,,,,8.65,1.69,1.31,3.49,3.05,2.96,3.9,1.5,-999,2.6,7,3.06,4.16,2.4,3.5,10,,,,,,,
October,,,,,,,,,2.05,6.6,1.19,4.17,6.6,2.63,1.85,4,6.8,5.4,6.5,2.23,1.03,5.56,3,10.37,,,,,,,
November,,,,,,,,,3.89,1.02,4.19,6.06,-999,6.63,6,3.25,6.18,7,4.5,4.6,6.32,4.2,5.39,4.5,,,,,,,
December,,,,,,,,,3.83,4.4,3.98,8.42,-999,4,5.52,5,4.5,2.59,5,,6.07,10.09,5.32,6.2,,,,,,,
Total,,,,,,,,,41.81,40.26,45.56,52.24,46.64,39.9,47.79,39.14,51.08,35.7,47.12,,58.36,61.71,55.09,70.45,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Nov Dec bracketed -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Aug Sep Bracketed -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Gauge Moved 1/2 mile NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
