"KILPATRICK HILLS, BURNCROOKS RESERVOIR NO2 GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS485796,Long,-4.43,Lat,55.985383,Elevation,959,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,10.52,5.25,3.5,6.15,5.85,6.3,9.1,3.54,8.2,,5.78,9.94,10.07,7.06,,,,,,,
February,,,,,,,,,,,6.57,9.51,4.8,3.59,8.4,7,4.1,1.48,8.2,,4.6,2.58,6.72,6.72,,,,,,,
March,,,,,,,,,,,4.35,2.73,8.1,7.03,7.2,5.02,1.4,2.7,2.55,9.56,6.7,8.87,3.16,2.03,,,,,,,
April,,,,,,,,,,,6.55,4.49,4.25,4.85,4.2,3.2,4.2,1.5,1.02,2.09,3.62,1.97,3.38,5.2,,,,,,,
May,,,,,,,,,,,2.44,2.84,2.21,6.22,2.5,1.47,10.6,2.98,2.62,1.83,5.47,2.96,5.75,2.49,,,,,,,
June,,,,,,,,,,,2.81,4.2,6.44,3.6,1.4,1.98,3.6,4,2.1,4.92,3.07,2.03,2.15,1.57,,,,,,,
July,,,,,,,,,,5.46,4,4.75,3.58,0.81,4.4,5.56,3.3,1.8,4.15,0,,1.96,,6.29,,,,,,,
August,,,,,,,,,,3.24,13.46,3.55,4.98,2.12,7.7,1.7,-999,6.1,4.4,2.76,6.62,10.46,3.58,8.01,,,,,,,
September,,,,,,,,,,1.88,2,4.84,3,3.2,4.6,1.25,-999,4.3,7.9,3.17,3.72,2.26,,10.01,,,,,,,
October,,,,,,,,,,8.66,1.94,4.92,7.86,3.5,2.55,4.85,8.8,8.48,8.4,2.32,1.07,5.67,2.86,10.29,,,,,,,
November,,,,,,,,,,1.45,5.34,7.62,-999,9.53,7.7,4.2,8,10.6,6.3,5.06,6.45,4.26,5.4,4.3,,,,,,,
December,,,,,,,,,,5.7,6.63,11.73,-999,5,6,6.12,6.14,2.59,7.7,,6.32,10,5.27,6,,,,,,,
Total,,,,,,,,,,,66.61,66.43,59.86,55.6,62.5,48.65,65.94,50.07,63.54,,,62.96,,69.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Total deleted too many est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Nov Dec bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 July Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jul Sep Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
