"DUNOON GRAMMAR SCHOOL",,,,,,,,,,,,
Grid ref,NS173765,Long,-4.927335,Lat,55.946703,,,,,,,
Station no,RR4205,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,6.83,10.40,7.57,11.37,9.56,,
February,,,,,,6.23,6.26,6.59,6.88,5.46,,
March,,,,,,7.70,6.37,9.29,7.80,2.23,,
April,,,,,,4.64,2.63,3.89,2.78,5.69,,
May,,,,,,2.86,6.38,5.78,3.54,3.93,,
June,,,,,3.08,1.69,1.60,7.03,4.20,2.80,,
July,,,,,3.82,4.43,,,5.80,5.60,,
August,,,,,6.07,7.56,10.50,13.46,6.10,3.55,,
September,,,,,7.30,3.63,3.29,2.37,11.30,2.57,,
October,,,,,5.65,6.22,10.15,7.09,2.27,9.92,,
November,,,,,5.97,8.28,7.22,6.78,6.43,4.70,,
December,,,,,8.42,6.69,8.09,10.30,9.43,9.42,,
Total,,,,,,66.76,72.89,80.15,77.90,65.43,,
Calc annual,0.00,0.00,0.00,0.00,40.31,66.76,72.89,80.15,77.90,65.43,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
