DUNOON GRAMMAR SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,NS173765,Long,-4.927335,Lat,55.946703,Elevation,50,ft,,,,,,,,,,,,
Station no,RR4205,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,6.83,10.4,7.57,11.37,9.56,6.71,,,,,,,,,
February,,,,,,6.23,6.26,6.59,6.88,5.46,6.86,,,,,,,,,
March,,,,,,7.7,6.37,9.29,7.8,2.23,2.55,,,,,,,,,
April,,,,,,4.64,2.63,3.89,2.78,5.69,5.09,,,,,,,,,
May,,,,,,2.86,6.38,5.78,3.54,3.93,2.74,,,,,,,,,
June,,,,,3.08,1.69,1.6,7.03,4.2,2.8,1.86,,,,,,,,,
July,,,,,3.82,4.43,-999,-999,5.8,5.6,4.33,,,,,,,,,
August,,,,,6.07,7.56,-999,-999,6.1,3.55,9.24,,,,,,,,,
September,,,,,7.3,3.63,3.29,2.37,11.3,2.57,1.78,,,,,,,,,
October,,,,,5.65,6.22,10.15,7.09,2.27,9.92,3.61,,,,,,,,,
November,,,,,5.97,8.28,7.22,6.78,6.43,4.7,3.29,,,,,,,,,
December,,,,,8.42,6.69,8.09,10.3,9.43,9.42,4,,,,,,,,,
Total,,,,,,66.76,72.89,80.15,77.9,65.43,52.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1906 Jul Au Bracketed,,,,,,,,,,,,,,,,,,,,
1907 Jul Au Bracketed,,,,,,,,,,,,,,,,,,,,
1907 Mar G vitiiated by hooligan Estd,,,,,,,,,,,,,,,,,,,,
1909  Jul ?,,,,,,,,,,,,,,,,,,,,
1910 NP Bad,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4205,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
