BRASTED-COMBE-BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ480558,Long,0.1207289,Lat,51.282121,Elevation,323,ft,,,,,,,,,,,,
Station no,RR8304,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.77,1.13,2.53,1.57,2.89,3.95,0.8,4.66,,,,
February,,,,,,,,,1.45,0.63,4.44,1.94,2.36,1,4.52,4.44,,,,
March,,,,,,,,,2.68,3.59,1.21,2.51,4.51,2.91,5.92,0.73,,,,
April,,,,,,,,,2.76,1.85,1.92,2.46,0.14,3.33,1.38,1.71,,,,
May,,,,,,,,,2.11,1.47,2.83,1.44,1.15,1.08,1.79,3.21,,,,
June,,,,,,,,,2.01,3.03,2.43,2.45,3,0.68,0.85,0.72,,,,
July,,,,,,,,,3.85,3.51,2.58,0.61,1.44,2.58,1.47,4.46,,,,
August,,,,,,,,,4.16,2.02,1.98,0.56,6.62,1.37,2.12,2.38,,,,
September,,,,,,,,,1.56,3.24,0.8,1.53,3.22,1.51,-999,2.16,,,,
October,,,,,,,,,1.88,6.68,2.66,4.43,3.38,4.9,-999,2.54,,,,
November,,,,,,,,,1.07,1.18,3.59,5.88,3.07,3.52,4.23,3.36,,,,
December,,,,,,,,,3.16,4.35,4.11,6.82,3.35,1.23,8.13,6.64,,,,
Total,,,,,,,,,28.46,32.68,31.08,32.2,35.13,28.06,33.01,37.01,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1914 Sep Oct bracketed -999 (1.8),,,,,,,,,,,,,,,,,,,,
