MAIDSTONE-LOWER-TOVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ752546,Long,0.5097809,Lat,51.263632,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.17,0.17,1,0.97,1.32,2.27,2.24,3.92,1.56,1.09,0.88,2.1,1.58,0.54,2.39,2.72,2.28,0.83,2.17,0.38,2.58,3.21,0.55,0.7,1.74,3,0.77,2.89,1.07,1.32,0.69,2.05,1.35,2.42,3.31,0.49,3.1,0.91,1.31,2.63,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.04,2.01,1.83,1.21,3.13,1.21,2.68,0.41,0.4,1.51,1.79,1.23,0.03,1.53,3.47,1.79,0.7,0.35,1.98,1.05,2.05,4.08,1.17,0.94,1,2.32,0.72,1.51,1.28,1.22,0.81,3.06,1.31,1.49,0.69,2.56,3.43,4.3,0.69,0.92,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.72,0.59,1.54,0.97,1.04,1.32,1.33,1.08,1.83,3.11,1.63,2.84,2.88,2.18,0.45,1.02,1.44,2.56,3.5,2.49,0.61,0.82,2.23,1.03,1.73,1.68,2.21,1.87,0.71,1.96,3.18,1.5,2.52,3.25,1.93,5.02,1.14,3.91,1.58,0.85,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.07,1.97,0.36,2.67,1.67,1.22,2.28,1.66,1.75,1.31,2.75,2.79,0.52,1.74,0.01,1.84,1.37,0.52,1.28,1.21,2.28,0.98,1.84,0.29,2.05,0.79,2.29,0.98,2.49,2.37,1.31,1.83,2.1,0.06,3.7,1.35,1.23,1.25,2.17,2.24,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.17,0.11,0.7,1.06,2.03,0.52,2.87,2.06,1.52,0.73,1.48,1.54,3.01,0.42,1.13,1.74,0.12,0.5,1.28,3.23,1.46,0.87,1.17,2.19,2.54,1.5,0.89,1.66,1.82,1.23,1.18,2.74,0.87,1.13,1.05,1.08,2.93,1.68,2.27,1.67,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.09,2.66,2.65,2.31,1.98,1.51,1.19,0.26,1.23,2.81,1.43,1.76,1.78,3.04,0.87,2.58,0.12,3.57,1.81,1.14,0.81,2.81,0.93,2.12,5.1,1.23,3.9,2.17,1.59,1.22,1.97,2.24,2.09,3.09,0.41,1.05,2.16,2.36,2.13,0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.63,3.03,1.18,2.85,3.37,1.55,0.13,1.83,0.9,3.89,2.52,3.84,2.82,1.92,2.45,4.1,3.11,1.5,0.26,0.68,2.2,1.5,2.08,1.41,4.22,2.11,0.94,0.35,0.72,3.16,3.49,1.76,0.47,1.27,2.19,1.34,3.59,1.29,4.73,3.74,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.14,3.34,1.59,3.39,0.98,0.58,0.79,0.89,2.78,2.25,2.8,2.36,2.7,2.75,3.45,1.42,2,1.41,2.79,2.04,1.41,1.67,1.74,1.98,4.04,2.51,1.39,1.83,0.66,1.46,3.6,2.11,1.98,0.88,4.78,1.05,0.61,1.75,2.47,5.17,1.06,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.98,2.56,3.13,2.45,3.11,3.33,3.58,3.9,1.61,2.51,0.71,1.85,1.04,0.65,2.22,2.22,2.42,0.61,6.39,2.44,0.4,2.67,0.66,1.11,2.35,1.75,2,1.86,1.58,0.59,0.92,3.48,0.84,1.42,2.6,1.5,0.76,2.8,1.04,1,4.75,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.22,0.48,6.53,2.52,5.92,2.5,1.63,3.67,2.4,1.65,1.47,5.02,0.81,5.88,5.3,3.48,4.19,2.84,4.42,0.16,1.9,1.55,1.65,1.9,1.82,4.86,1.7,1.13,3.26,3.73,1.72,6.12,2.04,4.88,3.01,4.36,2.42,1.51,2.99,2.94,2.85,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
