UPTON-ON-SEVERN (BERRYFIELD HO.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO851401,Long,-2.2187338,Lat,52.059077,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2378/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.64,2.91,3.19,2.28,5.02,3.2,3.33,3.31,5.4,1.98,1.37,2.14,1.95,3.94,1.26,0.44,2.38,1.95,0.53,1.44,2.68,3.74,,,,
February,,,,,1.42,2.6,3.84,0.57,1.06,2.04,2.19,0.57,1.7,0.79,1.68,1.69,0.96,1.05,0.95,4.3,3.16,0.5,1.3,2.19,1.23,0.36,,,,
March,,,,,0.34,1.95,2.96,0.14,1.47,1.47,1.93,2.06,1.42,0.29,0.86,0.89,5.53,1.27,1.13,1.16,3.88,2.09,0.89,2.31,2.04,0.53,,,,
April,,,,,3.91,2.14,2.21,0.13,2.29,2.7,0.89,1.21,0.93,1.43,1.07,2.6,2.4,1.84,2.17,1.85,2.54,1.9,2.41,0.33,0.91,1.55,,,,
May,,,,,1.33,0.66,2.47,1.63,0.77,2.45,1.97,3.32,2.67,0.54,2.25,3.04,2.05,2.84,3.18,2.05,3.56,3.72,2.46,2.14,4.9,0.83,,,,
June,,,,,2.79,3.6,0.84,1.23,2,0.93,2.58,0.05,1.66,1.86,2.63,2.08,1.93,1.73,0.38,1.95,0.46,1.67,1.95,3.08,3.97,1.33,,,,
July,,,,,0.45,5.07,3.01,2.46,4.54,3.26,2.37,1.36,1.01,2.86,1.7,1.61,1.77,0.82,2.15,2.79,0.97,0.69,2.77,1.86,0.82,,,,,
August,,,,1.8,1.12,0.33,0.25,3.62,1.99,0.31,3.61,3.21,1.35,3.14,2.01,4.71,1.09,3.39,1.59,3.79,5.51,4.99,3.59,3.56,0.31,,,,,
September,,,,0.9,3.82,2.75,2.83,1.53,0.94,0.57,0.77,1.41,1.63,2.36,1.91,3.19,1.78,2.51,1.88,2.97,2.16,1.15,1.72,1.39,1.15,,,,,
October,,,,0.98,3.03,1.55,2.45,2.35,2.66,3.79,2.12,2.38,2.06,3.63,3.4,0.62,0.34,2.73,5,0.57,1.16,3.94,1.67,3.12,1.05,,,,,
November,,,,1.74,5.05,2.07,1.46,2.34,4.02,5.45,2.3,1.22,1.36,4.39,0.3,4.65,1.64,1.24,2.7,3.83,6.06,2.94,1.11,5.26,3.58,,,,,
December,,,,4.92,3.41,2.56,2.8,3.2,1.52,1.49,1.19,3.95,1.1,2.08,4.15,2.07,1.89,3.44,1.03,1.63,1.67,2.68,1.16,1.76,2.03,,,,,
Total,,,,,27.31,28.19,28.31,21.48,28.28,27.66,25.25,24.05,22.29,25.35,23.33,29.29,23.33,26.8,23.42,27.33,33.51,28.22,21.56,28.44,24.67,,,,,
