BRIGG - BRIDGE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE995071,Long,-0.500,Lat,53.551,Elevation,11,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,2.29,1.07,2.11,1.40,2.62,1.97,1.35,0.27,0.83,1.70,2.66,2.56,2.31,3.39,1.81,0.70,1.52,2.15,1.29,1.30,1.60,1.59,4.36,0.82,2.06,0.72,1.74,3.12,0.91,0.85,1.83,1.47,0.64,2.85,0.68,1.28,1.27,1.59,1.45,2.71,2.78,1.63,2.67,0.58,3.10,1.50,3.00,2.51,2.32,3.15,1.67,2.17,1.60,3.24,1.77,5.06
February,1.37,1.46,0.71,2.48,1.94,1.17,2.53,1.87,3.38,1.50,3.07,1.60,2.82,0.58,0.53,1.47,2.07,0.98,0.32,1.69,2.65,2.76,0.43,0.60,2.34,1.42,1.38,2.89,3.66,1.49,0.99,2.85,0.90,2.63,1.49,2.19,0.99,2.12,1.38,1.04,0.66,0.64,2.75,3.17,0.80,1.57,2.27,2.09,0.30,2.79,3.40,1.09,2.21,1.45,1.60,1.42
March,2.00,1.07,0.69,3.40,2.19,1.03,0.75,2.20,1.85,1.57,1.61,1.83,1.54,2.53,1.55,2.17,3.56,1.76,1.39,0.98,0.44,1.04,2.22,1.74,2.99,1.36,1.14,0.92,1.58,1.47,2.59,1.68,2.44,1.94,1.19,3.02,2.83,0.90,2.06,2.51,2.13,2.25,0.93,3.51,1.64,0.91,3.05,2.94,1.09,1.83,1.60,0.97,1.33,0.65,1.61,
April,0.72,1.79,0.55,1.58,2.84,1.08,1.75,2.02,1.29,3.12,1.72,1.59,1.90,1.75,1.77,1.38,1.73,0.46,1.51,1.23,0.32,1.25,1.41,0.92,1.39,3.09,2.82,1.19,1.64,2.02,1.57,1.15,2.12,0.63,1.75,2.67,2.39,2.44,1.60,0.16,1.67,0.66,0.68,1.27,1.74,1.19,1.68,4.35,1.24,1.55,1.54,1.22,2.18,1.92,2.25,1.14
May,1.89,1.10,1.27,0.87,1.70,2.57,3.26,1.86,0.99,2.15,1.94,0.64,1.94,4.91,1.85,0.35,3.52,2.90,3.25,3.63,1.09,1.13,0.70,0.77,1.99,1.56,3.06,1.51,0.41,2.63,2.63,1.79,0.67,1.89,2.96,1.59,0.73,2.18,0.59,2.27,1.79,1.61,1.36,2.95,1.40,4.66,0.85,3.83,1.91,0.93,3.27,2.64,3.78,2.00,0.93,
June,1.20,0.76,3.17,2.68,1.28,2.64,3.83,2.85,2.15,4.35,3.34,0.45,3.28,0.67,0.04,1.54,0.18,2.31,1.74,3.78,1.32,3.27,3.36,2.55,1.98,1.05,1.37,2.01,2.21,2.66,1.46,0.57,3.81,1.48,2.89,1.19,2.73,2.23,3.33,4.76,0.66,2.21,0.45,2.91,1.11,0.69,1.01,2.16,0.12,1.25,0.71,1.57,0.06,3.77,3.48,
July,2.56,1.84,4.06,2.72,2.86,1.03,3.99,4.59,1.59,2.89,3.66,3.52,0.60,2.39,1.05,6.72,1.33,2.10,1.65,1.34,1.72,2.41,5.38,2.14,0.14,0.88,2.74,2.37,1.25,1.76,2.57,4.06,1.23,0.56,2.20,3.55,3.54,3.74,0.49,3.00,0.39,1.59,5.12,1.38,1.34,3.43,2.68,4.01,0.65,3.88,2.96,2.13,0.79,1.99,2.84,
August,2.51,1.95,1.89,1.53,3.23,5.70,4.14,1.74,4.81,4.12,1.68,1.73,1.33,2.13,1.37,2.20,3.73,2.14,3.59,3.16,1.80,2.78,2.27,2.23,3.10,3.37,0.79,5.59,2.81,2.66,4.31,4.13,3.77,1.24,1.83,2.58,3.97,3.24,1.30,4.35,0.80,2.61,3.71,3.61,6.46,2.34,2.46,0.99,2.64,2.08,2.36,2.18,1.83,2.87,2.82,
September,1.78,1.59,3.12,2.90,3.51,2.76,2.98,3.91,2.26,2.03,4.65,1.08,3.36,1.00,2.02,1.89,0.70,1.24,1.07,1.45,1.22,0.91,0.74,4.25,3.42,0.45,3.19,0.73,0.96,0.48,3.79,2.10,1.77,1.08,0.66,1.69,1.86,0.32,2.00,1.50,1.78,0.84,0.68,0.80,0.92,4.14,1.45,1.91,0.77,2.14,2.91,2.36,2.71,0.91,3.47,
October,2.11,1.67,3.97,2.07,2.07,2.63,0.81,5.07,2.10,5.08,3.77,0.96,5.94,3.31,2.60,0.48,5.06,1.00,4.08,4.60,1.52,4.10,2.54,6.19,1.28,2.78,3.09,2.17,3.77,2.85,5.75,0.97,2.11,5.38,4.24,1.09,3.42,2.34,1.57,2.99,2.20,2.39,1.11,2.24,3.51,1.37,3.48,1.66,0.98,1.40,1.53,3.98,2.37,2.60,1.51,
