"ROTHBURY CRAGSIDE",,,,,,,,,,,,
Grid ref,NU074022,Long,-1.884957,Lat,55.313828,,,,,,,
Station no,RR1218,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.16,3.68,1.13,4.71,2.07,0.57,3.15,0.88,2.22,1.58,,
February,7.37,2.02,2.16,2.01,3.11,1.20,1.12,1.84,1.86,3.00,,
March,3.06,3.03,1.62,2.20,2.29,2.18,2.03,1.59,4.85,6.65,,
April,1.63,1.30,1.84,1.66,1.73,3.23,0.89,2.97,3.37,3.46,,
May,1.53,3.53,3.60,1.93,2.81,1.05,5.82,4.56,2.37,1.90,,
June,4.03,1.38,2.28,1.87,1.80,1.21,2.34,3.57,0.51,2.87,,
July,1.64,2.51,2.58,5.15,1.30,0.68,1.77,1.58,2.63,2.41,,
August,4.79,3.38,1.53,2.80,2.52,4.94,4.27,2.48,2.68,3.05,,
September,1.01,1.37,1.45,2.89,1.32,2.24,0.79,0.37,2.29,2.22,,
October,6.06,2.13,2.10,9.55,0.46,4.31,7.98,7.68,3.15,3.07,,
November,5.07,6.41,2.38,2.38,3.34,6.88,3.31,2.68,1.68,0.74,,
December,2.67,3.81,5.38,3.34,2.50,0.89,2.66,3.92,1.88,4.19,,
Total,44.02,34.55,28.05,40.49,25.25,29.38,36.13,34.12,29.49,35.14,,
Calc annual,44.02,34.55,28.05,40.49,25.25,29.38,36.13,34.12,29.49,35.14,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
