BRIDGWATER-STOCKLAND-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST239432,Long,-3.090165,Lat,51.182944,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2097/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.73,3.56,5.1,3.18,5.71,2.45,4.16,2.9,6.15,2.24,2.13,2.09,2.81,4.97,0.84,0.58,2.95,,,,,,,,,
February,,,,,2.31,2.23,4.46,0.99,1.1,2.39,2.78,0.43,1.38,0.85,1.95,1.79,0.85,0.82,1.69,5.15,3.69,,,,,,,,,
March,,,,,1.11,3.02,4.18,0.16,0.98,2.2,2.77,1.76,1.35,0.3,0.62,0.74,5.47,1.11,1.12,0.8,3.52,,,,,,,,,
April,,,,,4.48,2.53,2.58,0.15,2.87,2.5,2.45,1.47,0.89,1.74,0.59,3.05,2.59,1.66,1.26,2.16,3.86,,,,,,,,,
May,,,,,1.49,1.64,1.8,2.15,1.03,2.45,1.74,5.5,2.5,1.86,3.96,4.89,2.73,3.44,3.08,2.13,2.62,,,,,,,,,
June,,,,,2.39,4.24,0.49,1.57,2.48,0.75,1.51,0.43,1.08,1.93,2.15,2.89,1.75,1.19,0.21,1.29,0.66,,,,,,,,,
July,,,,,0.51,5.05,4.58,2.49,4.2,4.62,2.4,1.5,2.13,1.46,2.59,1.88,1.7,4.23,3.29,3.63,2.02,,,,,,,,,
August,,,,,1.83,0.37,0.77,3.88,1.84,0.05,4.26,5.19,3.56,1.89,2.3,5.06,0.92,3.28,2.91,5.43,4.17,,,,,,,,,
September,,,,,3.66,4.29,4.07,4.42,0.79,1.77,0.9,2.13,2.74,2.52,2.03,4.5,1.28,1.19,4.5,5.12,3.22,,,,,,,,,
October,,,,,4.28,1.79,3.25,2.93,2.93,4.69,2.42,2.46,2.76,3.85,2.83,1.15,0.57,3.31,6.16,1.83,1.1,,,,,,,,,
November,,,,,5.83,2.94,2.36,3.51,5.55,6.03,2.52,1.5,2.42,5.65,0.95,4.88,1.73,1.69,4.32,6.08,6.24,,,,,,,,,
December,,,,,5.5,2.62,2.28,3.93,1.86,2.64,1.66,3.11,2.4,3.31,5.04,3.47,2.36,4.95,1.42,2.35,2.03,,,,,,,,,
Total,,,,,34.12,34.28,35.92,29.36,31.34,32.54,29.57,28.38,29.36,27.6,27.14,36.39,24.76,31.84,30.8,36.55,36.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge 7ins above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Oct 12 Gauge raised to 1ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
