"BLANDFORD (KING'S ROAD)",,,,,,,,,,,,
Grid ref,ST891068,Long,-2.156239,Lat,50.860605,,,,,,,
Station no,1619,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.61,2.33,0.79,1.87,3.65,5.33,4.07,4.67,5.79,4.27,,
February,5.71,0.45,1.77,3.08,2.21,0.25,4.43,3.44,0.39,3.76,,
March,4.22,3.02,0.62,4.04,1.80,0.89,3.18,1.85,4.51,2.06,,
April,2.64,1.52,2.03,0.18,0.51,1.65,0.09,0.57,3.08,2.34,,
May,2.78,2.79,2.15,1.85,4.04,0.58,2.75,2.77,0.96,1.84,,
June,0.46,0.89,2.34,3.06,2.18,2.35,1.85,4.36,1.54,2.18,,
July,1.31,0.77,2.99,3.19,2.45,2.40,4.13,1.75,1.58,3.91,,
August,5.08,3.21,1.57,2.75,0.26,4.41,3.03,2.88,2.49,4.25,,
September,4.28,4.39,3.54,3.25,1.19,4.95,3.29,4.36,0.22,6.61,,
October,1.15,4.90,3.78,3.01,3.41,2.03,2.75,3.52,3.19,10.22,,
November,10.45,3.21,2.00,6.70,3.65,0.74,3.30,2.84,5.22,5.74,,
December,3.33,2.74,0.80,3.78,5.28,7.13,2.77,4.56,10.26,3.77,,
Total,45.02,30.22,24.38,36.76,30.63,32.71,35.64,37.57,39.23,50.95,,
Calc annual,45.02,30.22,24.38,36.76,30.63,32.71,35.64,37.57,39.23,50.95,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
