SALCOMBE-FAIRHAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX731383,Long,-3.7802,Lat,50.2319,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,6.77,3.49,6.09,3.21,3.38,2.8,3.35,0.57,6.21,5.18,5.14,6.22,2.93,6.8,6,,,,,,,,
February,,,,,,,,,3.43,5.48,1.93,2.39,0.1,4.85,0.08,3.5,4.19,7.18,1.35,1.99,4.06,5.78,0.41,,,,,,,,
March,,,,,,,,,3.96,0.44,2.62,4.17,1.84,3.44,3.17,1.64,4.84,5.07,0.36,1.35,3.84,4.17,3.66,,,,,,,,
April,,,,,,,,,2.87,0.83,3.45,2.91,3.69,1.99,2.72,5,2.75,3.39,0.1,2.51,3.4,1.75,2.13,,,,,,,,
May,,,,,,,,,1.63,2.99,2.68,2.76,3.4,1.62,1.05,2.42,0.85,2.93,2.86,0.6,1.76,3.01,5,,,,,,,,
June,,,,,,,,,1.74,2.69,0.53,3.84,3.09,2.12,1.77,4.21,1.64,1.2,0.79,4.62,0.89,3.61,0.49,,,,,,,,
July,,,,,,,,,2.28,1.71,1.52,4.92,2.45,2.84,0.02,0.56,5.5,1.51,3.37,4.86,2.12,0.79,0.94,,,,,,,,
August,,,,,,,,,2.24,2.47,3.51,4.69,1.76,1.22,2.72,2.41,0.64,0.78,4.56,3.44,0,4.7,2.89,,,,,,,,
September,,,,,,,,,2.03,0.39,3.88,1.4,5.41,3.06,3.32,3.73,2.67,2.36,1.82,0.95,2.39,0.85,3.17,,,,,,,,
October,,,,,,,,,5.25,5.64,4.09,0.81,6.74,2.27,2.74,3.87,1.19,3.49,3.37,7.85,3.85,1.65,4.35,,,,,,,,
November,,,,,,,,,3.5,10.01,6.79,5.53,2.4,2.48,2.05,6.26,3.95,3.62,7.01,7.05,8.24,2.6,1.41,,,,,,,,
December,,,,,,,,,4.17,8.33,3.96,1.93,3.42,2.21,10.21,5.59,3.58,4,3.98,2.45,3.97,3.55,4.74,,,,,,,,
Total,,,,,,,,,39.87,44.47,41.05,38.56,37.68,30.9,33.2,39.76,38.01,40.71,34.71,43.89,37.45,39.26,35.19,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 House destroyed by enemy action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
