SALCOMBE-FAIRHAVEN-(LONGMYND),,,,,,,,,,
Grid ref,SX728386,Long,-3.7837,Lat,50.2339,Elevation,210,ft,,
Station no,1669,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.41,3.61,4.44,,,
February,,,,,2.99,3.67,1.72,,,
March,,,,,1.14,2.65,10.41,,,
April,,,,,0.7,2.62,2.82,,,
May,,,,,3.41,4.69,1.53,,,
June,,,,,3.46,3.07,4.52,,,
July,,,,,3.17,1.67,1.73,,,
August,,,,,3.78,3.66,1.74,,,
September,,,,,2.65,4.69,1.97,,,
October,,,,,4.21,1.81,0.96,,,
November,,,,,1.44,4.57,4,,,
December,,,,, ,4.09,2.6,,,
Total,,,,, ,40.8,38.44,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Longmynd found on 1955 OS map,,,,,,,,,,
1/4m NW of Fairhaven,,,,,,,,,,
,,,,,,,,,,
Notes from sheets,,,,,,,,,,
1944 Gauge moved Dec 30th 1/4m W,,,,,,,,,,
1945 Dec part estimated,,,,,,,,,,
