SALCOMBE-REGIS-STEEPHILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY131876,Long,-3.23137,Lat,50.68221,Elevation,150,ft,,,,,,,,,,,,,
Station no,1805,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.84,4.19,3.71,5.02,1.96,4.84,2.28,2.72,1.96,2.23,0.64,5.53,4.94,3.63,6.4,
February,,,,,,3.95,2.28,3,2.99,2.99,1.23,2.31,0.04,4.59,0.12,3.45,3.12,6.3,0.98,1.81,
March,,,,,,0.34,0.56,4.09,3.27,0.26,2.28,1.64,2.54,3.49,2.65,1.23,4.43,4.88,0.22,1.26,
April,,,,,,3.26,2.09,1.95,1.52,0.56,3.77,3.29,2.33,1.79,2.66,4.09,2.61,2.88,0.06,2.44,
May,,,,,,4.58,0.93,0.68,1.33,2.41,1.87,3.06,3.89,2.22,0.8,1.79,0.8,2.89,2.24,1.21,
June,,,,,,0.07,3.64,2.31,1.72,2.48,0.21,3.51,2.92,2.37,1.33,3.73,1.41,0.77,1.87,3.02,
July,,,,,,2.63,4.02,3.34,1.28,1.31,1.4,3.92,2.09,2.56,0.35,0.55,5.3,2.78,3.98,5.21,
August,,,,,,2.63,1.04,2.81,2.21,2.05,3.41,3.09,1.59,1.54,3.88,2.63,0.11,1.58,3.83,2.65,
September,,,,,,3.51,1.34,5.19,1.35,0.37,4.19,1.29,3.75,1.82,2.5,3.1,2.57,2.41,1.65,1.37,
October,,,,,,3.31,2.5,1.65,5.24,4.47,3.06,0.4,6.1,2.17,2.32,4.05,1.12,3.68,3.09,5.56,
November,,,,,,2.9,9.17,2.99,3.71,9.08,5.28,5.78,2.7,1.16,1.53,5.55,2.87,1.76,5.55,5.46,
December,,,,,,4.66,0.56,3.87,2.73,6.56,4.53,1.66,2.41,2.9,9.96,5.08,3.25,3.38,4.03,1.84,
Total,,,,,,36.68,32.32,35.59,32.37,34.5,36.07,32.23,33.08,28.57,30.33,35.89,33.12,38.25,31.13,38.23,
,,,,,,,,,,,,,,,,,,,,,
Steephill Hillside Road Salcombe Regis,,,,,,,,,,,,,,,,,,,,,
Observer formerly in Sevenoaks Kent,,,,,,,,,,,,,,,,,,,,,
1939 BR Total printed 37.23,,,,,,,,,,,,,,,,,,,,,
1940 Terminated Observer died 1940,,,,,,,,,,,,,,,,,,,,,
