BIDEFORD-HEALE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS449236,Long,-4.2104,Lat,50.9912,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.42,6.7,2.67,3.84,1.23,1.83,3.38,4.42,4.86,2.98,6.79,4.16,2.41,2.26,6.59,5.17,,,,,,,,
February,,,,,,,5,3.16,1.33,5.31,4.32,3.71,2.11,4.97,4.47,4.28,1.02,1.44,1.29,3.69,0.99,0.1,,,,,,,,
March,,,,,,,3.59,3.18,2.54,1.01,1.61,2.84,1.79,0.94,3.23,1.41,3.45,1.17,4.96,3.73,1.7,1.77,,,,,,,,
April,,,,,,,2.84,3.21,2.82,1.86,2.2,0.63,4.48,1.09,1.91,1.91,3.07,1.65,1.38,1.68,3.43,1.74,,,,,,,,
May,,,,,,,0.37,2.19,5.47,2.99,1.47,1.8,2.24,2.01,1.54,3.06,2.97,1.26,1.35,3.25,2.39,4.31,,,,,,,,
June,,,,,,,1.53,2.06,2.51,5.16,1.88,2.81,4.22,3.96,1.31,2.94,1.14,0.64,2.42,1.39,2.71,3.22,,,,,,,,
July,,,,,,,0.78,3.53,2.26,4.19,5.97,2.13,4.7,3.34,2.71,0.78,2.55,1.04,4.39,3.84,3.73,2.97,,,,,,,,
August,,,,,,,3.22,5.11,5.31,5.79,1.67,4.71,4.53,1.7,2.13,1.52,1.18,1.04,3.04,2.94,4.39,7.67,,,,,,,,
September,,,,,,,5.27,2.69,3.76,3.35,3.05,2.12,5.76,5.52,2.57,5.11,2.64,5.2,1.52,1.54,1.24,3.92,,,,,,,,
October,,,,,,,3.99,4.16,7.22,1.92,6.21,3.02,6.34,5.25,2.5,7.18,8.68,3.05,2.18,5.63,4.22,8.6,,,,,,,,
November,,,,,,,3.11,7.92,4.84,0.71,4.05,4.92,6.92,5.9,2.68,5.06,4.04,4.71,7.79,2.88,6.12,3.52,,,,,,,,
December,,,,,,,7.71,3.95,3.41,1.84,6.08,5.79,5.87,2.77,6.61,2.24,7.49,3.78,4.91,3.17,2.37,6.87,,,,,,,,
Total,,,,,,,39.83,47.86,44.14,37.97,39.74,36.31,52.34,41.87,36.52,38.47,45.02,29.14,37.64,36,39.88,49.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 Aug Gauge moved 5ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
