"MULL, GLENCANNEL, GORTENBUIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 59380 34486,Long,-5.905291,Lat,56.44098,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,17.74,10.47,13.35,10.18,17.1,17.23,6.02,,11.73,17.11,19.17,12.24,17.06,10.68,10.74,17.54,18.91,20.27,6.15,18.68,11.53,14.71,10.96,,,,,,,
February,,16.27,7.23,9.58,16.55,12.05,11.8,2.42,,1.98,22.5,7.78,13.75,9.52,5.92,11.61,9.42,7.73,9.02,4.72,1.39,10.44,0.21,8.8,,,,,,,
March,,5.03,13.66,18.08,10.81,7.11,2.85,5.86,,9.9,14.75,16.8,5.44,7.44,1.01,4.46,9.74,9.56,11.99,2.17,7.58,2.22,5.85,6.64,,,,,,,
April,,10.25,8.11,10.13,9.92,10.29,9.14,4.35,,10.91,5.39,6.14,5.76,6.78,8.13,11.47,4.09,10.26,7.7,3.73,2.78,3.86,9.11,9.77,,,,,,,
May,,7.69,4.29,7.67,5.36,1.73,9.22,5.56,,3.76,13.43,7.1,13.86,6.35,5.49,10.57,4.26,6.08,1.33,8.58,4.5,5.37,3.8,4.16,,,,,,,
June,,6.69,7.8,8.3,4.74,0.95,2.2,5.12,,10.64,4.65,2.56,6.93,6.52,11.84,2.97,4.58,6.89,5.51,7.53,7.86,7.25,5.04,6.09,,,,,,,
July,,8.17,6.39,1.51,3.45,8.81,3.18,1.96,,3.95,9.5,8.61,9.61,10.9,10.75,5.22,7.96,4.16,9.68,7.76,3.56,7.07,8.6,7.55,,,,,,,
August,,9.42,4.94,5.2,9.5,3.87,4.34,8.36,,7.6,7.08,6.7,7.42,10.68,9.07,6.61,9.28,10.43,8.2,11.35,12.27,1.87,10.02,10.42,,,,,,,
September,,10.63,5.25,3.73,6.85,2.25,6.86,13.78,,17.36,9.64,8.15,8.37,20.26,10.78,8.34,11.79,7.76,7.28,9.66,4.22,4.55,11.84,2.59,,,,,,,
October,,6.4,13.4,9.94,5.02,5.44,12.96,20.93,,9.07,8.32,12.58,7.2,24.96,7.17,8.67,9.91,10.89,14.96,21.37,13.26,10.75,16.66,10.79,,,,,,,
November,,14.38,15.12,18.76,15.66,5.97,16.31,21.81,,10.58,15.25,5.82,10.74,11.46,13.16,3.38,13.78,11.43,13.8,14.79,13.82,13.62,12.87,6.31,,,,,,,
December,,22.22,26.46,13.88,18.21,13.15,10.91,8.61,,15.77,10.48,24.44,13.15,16.66,16.2,8.13,9.73,1.44,17.93,22.14,12.51,14.85,10.53,7.92,,,,,,,
Total,,134.89,123.12,120.13,116.25,88.72,107,104.78,,113.25,138.1,125.85,114.47,148.59,110.2,92.17,112.08,105.54,127.67,119.95,102.43,93.38,109.24,92,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
