SCAMPTON HOUSE,,,,,,,,,,,,,,,,,,
Grid ref,SK945795,Long,-0.583,Lat,53.304,Elevation,80,ft,,,,,,,,,,
Station no,RR4180,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917
January,2.99,-999.00,1.00,-999.00,1.49,0.54,2.62,0.89,0.88,1.25,1.71,0.97,2.59,2.73,1.18,2.43,,
February,2.75,-999.00,1.51,-999.00,2.44,1.83,2.01,1.15,1.54,0.78,2.03,0.58,0.89,0.74,0.66,2.26,,
March,0.77,1.75,1.61,-999.00,1.39,0.44,1.48,1.15,2.51,2.17,0.79,1.49,2.72,2.27,1.73,0.86,,
April,1.02,1.28,1.65,0.83,0.75,1.18,0.73,1.48,2.10,1.86,1.43,0.99,0.15,1.92,0.63,0.64,,
May,1.56,0.61,2.46,2.83,1.46,0.63,1.28,3.04,1.55,0.92,2.45,1.04,2.38,1.65,1.80,2.08,,
June,2.28,1.22,3.14,0.92,0.64,2.39,1.28,2.65,1.42,2.50,2.17,3.27,4.06,0.56,1.81,0.67,,0.63
July,2.01,3.74,1.58,2.71,3.87,1.03,0.69,1.55,2.49,4.27,3.12,0.35,2.83,0.30,1.72,4.30,,1.25
August,4.83,1.90,2.74,5.72,2.88,3.77,1.35,2.53,1.40,3.83,3.99,1.01,4.57,1.21,1.73,3.06,,4.90
September,0.70,1.08,0.90,4.14,1.66,1.57,0.84,0.58,2.43,1.72,0.34,1.65,1.47,1.82,0.85,0.59,,1.04
October,2.40,1.73,2.20,5.15,0.90,1.75,4.30,3.77,1.04,2.77,1.49,1.90,2.27,2.55,1.82,0.92,,2.37
November,1.92,2.31,-999.00,1.63,0.55,2.50,2.32,2.01,1.13,0.34,3.18,2.49,2.26,1.98,2.16,2.15,,1.52
December,2.70,3.72,-999.00,0.86,1.59,0.81,1.48,1.66,1.33,4.48,3.38,2.67,2.25,0.42,3.84,4.38,,1.13
Total,25.93,22.04,22.04,31.14,19.62,18.44,20.38,22.46,19.82,26.89,26.08,18.41,28.44,18.15,19.93,24.34,,
,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/120,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/076,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# The readings for January-February 1901 are apportioned.,,,,,,,,,,,,,,,,,,
# The readings for November-December 1902 are apportioned.,,,,,,,,,,,,,,,,,,
# The readings for January-March 1903 are apportioned.,,,,,,,,,,,,,,,,,,
