"SCAMPTON HOUSE",,,,,,,,,,,,
Grid ref,SK945795,Long,-0.583352,Lat,53.304028,,,,,,,
Station no,RR4180,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.99,0.78,1.00,2.20,1.49,0.54,2.62,0.89,0.88,1.25,,
February,2.75,1.92,1.51,-999.00,2.44,1.83,2.01,1.15,1.54,0.78,,
March,0.77,1.75,1.61,3.50,1.39,0.44,1.48,1.15,2.51,2.17,,
April,1.02,1.28,1.65,0.83,0.75,1.18,0.73,1.48,2.10,1.86,,
May,1.56,0.61,2.46,2.83,1.46,0.63,1.28,3.04,1.55,0.92,,
June,2.28,1.22,3.14,0.92,0.64,2.39,1.28,2.65,1.42,2.50,,
July,2.01,3.74,1.58,2.71,3.87,1.03,0.69,1.55,2.49,4.27,,
August,4.83,1.90,2.74,5.72,2.88,3.77,1.35,2.53,1.40,3.83,,
September,0.70,1.08,0.90,4.14,1.66,1.57,0.84,0.58,2.43,1.72,,
October,2.40,1.73,2.20,5.15,0.90,1.75,4.30,3.77,1.04,2.77,,
November,1.92,2.31,1.60,1.63,0.55,2.50,2.32,2.01,1.13,0.34,,
December,2.70,3.72,1.65,0.86,1.59,0.81,1.48,1.66,1.33,4.48,,
Total,25.93,22.04,22.04,31.14,19.62,18.44,20.38,22.46,19.82,26.89,,
Calc annual,25.93,22.04,22.04,30.49,19.62,18.44,20.38,22.46,19.82,26.89,,
Difference,0.00,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,,
