WEST-GRINSTEAD-DANEFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ192219,Long,-0.3032084,Lat,50.984175,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.39,4.17,2.78,3.53,2.69,2.56,0.99,5.23,6.14,3.47,5.14,2.61,2.79,,,,,,,,,
February,,,,,,,,,1.71,1.07,0.97,2.43,0.29,2.57,0.07,4.2,2.4,4.94,0.91,1.69,2.33,3.54,,,,,,,,,
March,,,,,,,,,2.35,0.03,1.79,0.44,1.6,3.26,2.7,0.45,1.67,3.74,0.52,1.29,3.37,2.06,,,,,,,,,
April,,,,,,,,,2.3,0.55,2.2,3.59,2.19,0.67,2.47,3.58,1.55,2.98,0.05,2.53,1.4,1.47,,,,,,,,,
May,,,,,,,,,1.03,2.38,1.83,2.95,3.68,1.48,0.66,1,0.34,2.46,2.35,1.19,1.3,2.06,,,,,,,,,
June,,,,,,,,,2.16,1.94,0.73,1.49,1.44,1.85,1.01,3.42,3.17,1.23,0.68,0.99,0.33,1.89,,,,,,,,,
July,,,,,,,,,1.64,1.99,2.61,3.28,3.6,1.78,2.46,0.98,3.76,1.06,1.33,2.6,2.67,1.93,,,,,,,,,
August,,,,,,,,,2.93,3.06,3.28,3.24,0.4,0.73,2.78,3.75,1.26,1.62,1.66,2.95,0.05,3.81,,,,,,,,,
September,,,,,,,,,0.96,0.91,3.04,1.8,2.23,2.92,1.93,4.01,2.3,1.62,2.67,1.29,1.33,0.13,,,,,,,,,
October,,,,,,,,,7.27,4.75,2.09,0.45,7.34,2.26,3.04,4.95,1.31,2.89,4.23,4.87,3.81,0.98,,,,,,,,,
November,,,,,,,,,3.29,9.55,5.16,4.41,1.3,1.03,3.48,5.81,4.88,2.26,4.61,6.66,7.41,4.42,,,,,,,,,
December,,,,,,,,,3.49,8.1,3.45,1.23,0.62,0.52,8.83,4.69,3.32,3.88,3.95,1.65,2.23,2.08,,,,,,,,,
Total,,,,,,,,,,35.72,31.32,28.09,28.22,21.76,31.99,37.83,31.19,34.82,26.43,32.85,28.84,27.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Mar IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
