TIVERTON-ST-PETER-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS953127,Long,-3.4895,Lat,50.9049,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,1.06,2.37,2.07,3.7,3.97,2.96,5.85,3.26,1.47,1.01,4.84,3.03,3.29,2.62,3.15,5.19,0.92,2.69,0.97,5.46,5.24,3.9,1.95,4.44,4.99,1.75,6.59,1.61,1.44,1.62,4.92,1.45,4.72,6.89,1,4.65,1.82,1.23,5.9,6.06,5.47,3.11,5.14,2.91,4.87,3.65,,,,
February,4.31,4.58,1.95,5.94,4.03,4.28,1.7,0.47,1.02,2.98,1.66,0.05,3.36,5.64,2.68,0.11,0.41,4.74,3.1,4.32,4.24,1.32,1.63,1.71,6.35,1.53,4.03,1.86,2.46,0.53,4.41,2,3.12,0.94,3.09,5.56,6.97,1.54,1.82,4.79,0.86,0.28,4.47,9.67,0.73,5.95,,,,
March,2.87,3.59,1.44,1.1,3.6,1.92,2.92,1.69,4.23,3.49,1.85,2.2,1.12,0.41,2.37,3.32,3.95,4.87,1.96,0.66,1.77,2.93,2.25,4.08,2.26,4.76,2.37,0.93,3.41,5.25,0.62,2.37,6.27,4.35,6.61,0.85,3.93,3.89,1.63,5.19,3.95,2.14,3.48,1.69,2.15,0.71,,,,
April,2.12,1.35,5.61,2.14,2.1,3.68,2.38,1.55,1.69,3.37,3.23,2.02,1.51,0.2,2.33,2.11,0.59,4.49,2.02,3.3,1.81,3.62,1.57,2.87,1.2,3.08,1.11,5.07,2.92,2.93,2.84,2.05,0.26,4.33,2.02,1.14,1.22,1.72,1.87,2.2,4.44,0.83,3.7,3.24,3.9,3.82,,,,
May,1.39,1.62,2.48,1.92,1.45,3.6,4.72,1.79,1.19,2.81,6.69,3.34,0.79,,2.46,0.89,0.05,1.56,5.15,2.97,2.06,0.6,2.32,3.66,2.82,0.24,2.27,2.9,1.77,1.49,3.29,1.32,1.67,3.38,1.57,2.09,3.31,2.17,1.23,0.58,1.82,2.16,1.26,1.88,4.13,4.52,,,,
June,1.87,3.07,4.53,2.54,2.85,2.98,0.78,0.15,3,0.29,3.23,1.3,1.51,,1.64,2.04,2.31,2.78,1.66,1.6,2.88,3.39,2.77,2.74,0.93,2.89,1.33,3.15,0.71,2.79,2.47,2.21,5.05,1.16,2.11,1.34,2.38,4.15,0.29,0.66,1.8,0.89,1.13,0.41,2.66,0.03,,,,
July,5.16,3.25,4.79,4.55,3.14,0.49,2.68,0.88,7.3,3.19,3.93,3.14,2.76,,6.15,3.66,1.42,1.55,1.14,0.75,1.19,1.39,2.12,3.62,5.93,1.08,0.69,1.72,1.71,2.44,3.04,0.19,2.84,0.36,4.07,4.05,1.23,2.81,4.43,1.48,4.83,0.64,3.64,1.45,5.49,3.15,,,,
August,1.6,5.79,4.29,1.88,2.09,1.94,2.4,1.31,2.79,3.65,3.04,6.51,3.81,1.25,4.29,3.23,1.82,5.26,3.15,2.71,2.36,2.11,3.02,3.44,2.61,4.9,2.4,2.42,,1.56,4.54,1.85,6.86,1.27,2.97,3.35,5.27,6.14,3.28,2.94,1.74,1.99,4.83,3.18,4.97,,,,,
September,3.93,2.73,4.08,6.18,2.09,5.81,2.79,3.27,1.06,1.41,0.8,2.16,2.39,2.21,1.99,2.09,6.07,4.15,1.56,3.59,0.77,2.68,2.61,4.86,3.14,1.61,1.02,0.86,2.48,2.4,0.33,2.19,1.17,1.78,2.81,0.87,3.08,1.78,8.67,2.35,2.08,1.62,3.72,3.3,5.49,,,,,
October,6.18,3.25,7.14,3.78,0.91,6.23,7.47,4.58,1.3,3.79,2.06,7.92,5.09,4.12,4.83,4.59,3.35,1.84,5.66,2.87,3.43,2.65,3.11,8,2.36,2.62,5.37,7.11,2.54,6.19,6.93,4.12,5.39,4.56,3.65,5.33,7.43,6.24,1.57,2.82,3.57,0.78,1.35,5.77,5.76,,,,,
November,3.1,3.96,6.08,4.21,1.98,3.55,3.87,3.21,8.51,2.2,3.04,3.98,3.56,2.84,5.82,6.33,1.05,2.05,4.92,3.47,4.71,0.74,4.73,3.22,2.88,3.64,4.53,3.2,1.56,1.33,5.76,3.76,1.73,3.73,3.37,2.95,5.75,2.72,3.12,2.94,2.81,4.47,2.28,3.19,5.02,,,,,
December,5.06,3.08,5.79,1.81,4.16,2.22,6.1,3.26,3.24,2.39,2.19,4.79,1.95,4.17,2.63,4.15,6.66,5.58,3.69,5.41,5.34,6.42,3.31,4.44,2.96,1.29,2.92,5.05,3.99,5.66,6.45,9.61,4.58,2.69,8.62,8.55,4.18,1.09,6.13,6.56,4.32,2.6,7,4.34,4.59,,,,,
Total,38.65,38.64,50.25,39.75,32.37,39.66,43.66,25.42,36.8,30.58,36.56,40.44,31.14,,40.34,37.71,28.6,41.56,34.98,37.11,35.8,31.75,31.39,47.08,38.43,29.39,34.63,35.88,,34.19,45.6,33.12,43.66,35.44,41.89,40.73,46.57,35.48,39.94,38.57,37.69,21.51,42,41.03,49.76,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daughter who took over from her father who died in 1892, lived with him, so assume stayed in same place, just stopped using house name, instead number 54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR given is 54 St Peter St – very close to church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893 May to July adjusted from Broomhill record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Aug corrected by nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
