MIDDLEHAM - COTESCUE PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SE106869,Long,-1.839,Lat,54.278,Elevation,600,ft,,,,,,,,,,,,
Station no,3418,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934
January,3.86,,,3.27,,,5.75,4.05,1.71,2.45,3.69,3.97,2.56,4.99,1.07,5.10,1.73,3.44,2.50,2.40
February,4.24,,,2.97,,,0.18,3.30,6.32,0.47,4.71,2.07,1.91,2.97,0.99,1.48,2.45,0.49,4.18,0.11
March,1.03,,,1.23,,,1.84,2.35,1.53,1.66,1.05,0.81,2.65,,0.13,2.81,0.76,1.89,1.29,3.31
April,-999.00,,,0.83,,,0.93,2.92,2.83,1.60,3.54,1.03,2.15,0.51,0.89,3.41,2.54,2.64,1.33,3.49
May,-999.00,,,2.70,,,0.80,2.08,2.25,4.80,3.72,2.45,1.89,,1.34,0.86,3.04,3.90,3.79,1.86
June,0.28,,,0.32,,,0.30,1.10,0.53,1.09,0.05,2.65,2.48,4.72,1.25,1.49,4.54,1.24,2.18,1.56
July,3.69,,,6.55,,,2.57,3.45,2.52,5.12,1.33,2.34,4.79,0.46,2.56,5.27,2.41,3.69,2.05,1.33
August,2.39,,,2.95,,,3.97,2.63,3.83,1.74,2.44,2.68,7.60,5.11,2.16,5.95,4.10,1.44,0.36,1.56
September,0.83,,,6.48,,,1.28,4.32,2.92,2.95,2.67,2.52,4.50,0.15,0.98,4.57,3.84,2.19,1.89,1.57
October,1.13,,,2.50,,,1.47,1.22,3.21,3.38,3.40,2.61,3.51,,3.58,2.95,1.10,4.01,3.03,4.02
November,1.50,,,1.94,,,2.43,0.82,4.79,1.63,1.96,6.20,2.33,3.73,3.87,3.81,3.97,2.07,3.35,2.19
December,8.00,,,5.15,,,3.67,3.40,2.60,4.07,4.32,0.71,3.51,1.81,6.30,2.90,1.49,1.55,0.67,5.47
Total,28.75,,,36.89,,,25.19,31.64,35.04,30.96,32.88,30.04,39.88,,25.12,40.60,31.97,28.55,26.62,28.87
,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/264,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/152,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/296,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# April-May 1915 are grouped into a single aggregate reading of 1.80 on the sheet.,,,,,,,,,,,,,,,,,,,,
"# Readings for March, May and October 1928 are estimates and have been omitted.",,,,,,,,,,,,,,,,,,,,
