"PURTON (RESTROP HOUSE)",,,,,,,,,,,,
Grid ref,SU080864,Long,-1.885952,Lat,51.576410,,,,,,,
Station no,1539,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,1.49,0.65,,,,,,,,,
February,4.16,0.58,1.56,,,,,,,,,
March,3.11,2.97,0.75,,,,,,,,,
April,2.54,1.61,2.08,,,,,,,,,
May,2.19,3.87,1.77,,,,,,,,,
June,0.97,0.94,1.60,,,,,,,,,
July,0.97,0.48,2.57,,,,,,,,,
August,5.47,3.46,2.94,,,,,,,,,
September,3.52,1.58,2.91,,,,,,,,,
October,0.93,4.52,3.02,,,,,,,,,
November,5.48,4.42,,,,,,,,,,
December,1.36,2.64,,,,,,,,,,
Total,33.24,28.56,,,,,,,,,,
Calc annual,33.24,28.56,19.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
