"SHUGBOROUGH",,,,,,,,,,,,
Grid ref,SJ991224,Long,-2.014789,Lat,52.799159,,,,,,,
Station no,2350,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.65,1.71,1.35,2.00,2.21,1.44,4.48,1.61,1.45,1.68,,
February,4.12,1.93,1.63,1.31,3.78,0.94,2.74,1.74,1.58,0.52,,
March,0.78,1.97,1.78,4.25,1.67,3.39,2.05,1.52,3.10,3.23,,
April,1.21,2.02,1.87,2.13,1.95,2.40,1.51,1.78,2.92,2.22,,
May,1.98,0.86,2.42,2.50,2.01,0.51,2.86,4.01,3.06,1.50,,
June,2.74,2.37,2.61,1.45,0.74,2.84,1.54,2.87,3.03,3.85,,
July,3.09,2.46,2.04,2.19,1.65,1.53,0.77,2.73,3.36,3.88,,
August,4.42,3.21,3.68,4.52,4.66,4.28,2.27,3.06,4.47,2.26,,
September,1.13,0.79,1.61,4.51,2.01,1.25,1.76,0.91,2.17,2.56,,
October,3.72,2.51,2.88,5.36,1.17,1.64,4.96,4.14,2.25,3.76,,
November,2.51,1.76,2.04,2.63,1.95,2.78,3.21,2.69,1.99,1.41,,
December,4.02,4.67,2.12,2.04,2.05,0.78,3.00,3.11,2.60,5.05,,
Total,33.37,26.26,26.03,34.89,25.85,23.78,31.15,30.17,31.98,31.92,,
Calc annual,33.37,26.26,26.03,34.89,25.85,23.78,31.15,30.17,31.98,31.92,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
