BERTHEN,,,,,,,,,,,,
Grid ref,SH643641,Long,-4.030911,Lat,53.156688,,,,,,,
Station no,4374/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.45,8.92,4.26,8.25,7.38,,,10.30,8.30,16.35,,
February,10.38,5.68,4.88,6.25,4.00,,,13.35,3.45,8.10,,
March,9.78,3.98,4.25,5.80,3.06,,,3.20,4.65,5.70,,
April,8.17,5.07,7.65,4.64,8.90,,,3.20,9.65,4.23,,
May,5.83,4.97,4.82,6.05,14.37,,,13.15,2.55,4.26,,
June,2.47,6.21,5.97,6.24,11.92,,,6.30,3.80,3.62,,
July,5.11,3.72,9.20,11.26,2.04,,,5.30,4.68,6.15,,
August,10.90,7.44,8.20,14.82,5.92,,,6.65,1.42,8.72,,
September,12.87,9.37,8.90,12.28,5.15,,,14.22,1.52,10.35,,
October,5.90,12.37,4.73,23.68,9.54,,,11.95,12.62,7.26,,
November,12.75,4.77,14.70,20.09,6.34,,,2.76,,22.64,,
December,16.39,8.08,5.67,6.12,14.65,,,7.36,,10.24,,
Total,109.00,80.58,83.23,125.48,93.27,,,97.74,,107.62,,
Calc annual,109.00,80.58,83.23,125.48,93.27,0.00,0.00,97.74,52.64,107.62,,
Difference,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,0.00,NaN,0.00,,
